stock price.x
10 2.648
10 2.403
10 2.008
10 1.758
10 1.298
10 2.121
11 1.966
11 1.863
11 1.801
11 1.67
11 1.483
11 1.1
11 2.299
9 3.343
9 3.196
9 2.783
9 2.617
9 1.805
9 0.626
8 0.902
8 3.689
8 3.772
8 3.169
8 2.781
8 2.044
8 1.99
28 5.537
19 0.786
19 0.491
19 1.534
19 1.387
18 0.959
18 0.588
18 0.843
21 0.986
21 1.268
21 1.004
21 1.74
21 1.619
21 2.482
21 0.957
12 0.507
12 1.717
12 1.252
12 0.886
12 0.558
12 0.606
4 0.173
4 0.865
4 0.644
4 0.596
4 0.442
4 0.173
4 0.225
3 0.196
3 0.737
3 0.732
3 0.524
3 0.644
3 0.196
3 0.694
2 0.636
2 0.771
2 0.585
2 0.483
20 6.973
20 5.321
20 2.711
20 5.124
17 0.775
17 2.034
17 0.968
17 2.61
30 0.192
30 0.237
30 0.149
29 0.329
1 8.921
1 8.159
1 10.725
1 8.978
1 8.05
1 7.941
0 4.919
24 0.56
24 1.805
24 1.491
24 1.328
24 0.827
24 2.375
23 1.266
23 2.104
23 1.59
23 1.933
23 1.009
23 1.153
23 2.35
22 1.656
22 1.493
22 1.294
22 0.942
22 1.245
15 1.932
15 1.999
15 1.952
15 1.414
15 1.507
16 0.26
26 16.396
26 14.872
26 7.444
26 7.386
26 13.381
25 23.333
25 16.961
25 7.346
25 7.144
25 6.259
25 9.169
7 0.172
7 0.218
7 0.195
7 0.302
6 0.266
5 0.285
27 4.39
27 5.883
27 6.227
27 5.235
27 4.429
27 7.783
27 5.037
14 0.423
14 0.877
14 0.7
14 0.779
13 1.407
13 1.127
13 1.547
13 1.265
13 0.57
