VE_REF pt_graph
DEN1 2402
DEN2 4681
DEN2 2817
DEN3 6851
DEN3 4681
DEN3 5703
DEN4 803
DEN5 1582
DEN5 1086
DEN8 7010
DEN9 7010
DEN11 517
DEN11 6121
DEN11 803
DEN11 445
DEN12 6689
DEN12 4681
DEN13 10875
DEN13 10449
DEN14 1009
DEN14 847
DEN14 806
DEN15 10875
DEN15 7009
DEN15 6689
DEN15 1754
DEN15 803
DEN15 2817
DEN16 1498
DEN16 1048
DEN16 1955
DEN16 1086
DEN16 1953
DEN17 6689
DEN17 4681
DEN18 6851
DEN19 10610
DEN19 10656
DEN19 10602
DEN20 1953
DEN20 1498
DEN20 6689
DEN21 6689
DEN22 10875
DEN22 803
DEN22 1754
DEN22 11034
DEN23 6689
DEN23 1954
DEN23 6851
DEN23 7247
DEN23 7326
DEN23 5703
DEN25 1861
DEN26 6689
DEN26 3979
DEN27 517
DEN27 445
DEN28 5703
DEN28 4681
DEN29 6851
DEN29 10449
DEN30 10449
DEN30 10875
DEN30 10876
DEN31 10875
DEN31 1754
DEN31 1498
DEN31 6689
DEN31 7091
DEN32 441
DEN32 445
DEN33 1954
DEN33 6689
DEN34 10875
DEN34 10449
DEN34 10876
DEN35 3729
DEN35 3610
DEN36 445
DEN36 267
DEN37 7010
DEN37 6121
DEN37 6689
DEN37 7009
DEN37 7171
DEN37 7326
DEN37 6851
DEN38 2402
DEN38 2546
DEN38 2403
DEN38 2054
DEN39 10449
DEN39 10875
DEN40 803
DEN41 6689
DEN41 1955
DEN41 1086
DEN41 1498
DEN41 803
DEN42 441
DEN43 1756
DEN43 1953
DEN44 1954
DEN45 6689
DEN45 1953
DEN45 4681
DEN45 2817
DEN45 3979
DEN46 6689
DEN46 3979
DEN46 1953
DEN46 4681
DEN46 2817
DEN47 7010
DEN47 6689
DEN48 10449
DEN48 4222
DEN48 2817
DEN48 803
DEN49 7010
DEN49 1954
DEN49 10449
DEN50 6689
DEN51 1954
DEN51 7010
DEN52 7010
DEN52 1954
DEN52 2546
DEN52 1498
DEN52 4681
DEN52 6689
DEN53 445
DEN54 445
DEN55 1953
DEN55 3613
DEN56 6689
DEN56 6851
DEN56 7010
DEN56 7009
DEN57 2817
DEN57 4681
DEN58 10875
DEN58 10876
DEN59 2817
DEN59 4681
DEN59 2055
DEN60 445
DEN60 267
DEN61 10876
DEN61 10602
DEN61 10449
DEN62 6689
DEN62 4681
DEN63 1498
DEN63 6689
DEN63 5703
DEN63 1754
DEN64 2817
DEN64 4681
DEN64 1498
DEN64 6689
DEN64 1953
DEN64 3979
DEN65 10449
DEN65 6851
DEN65 5703
DEN65 4681
DEN66 803
DEN66 517
DEN67 6689
DEN67 4681
DEN67 5703
DEN67 1498
DEN67 1754
DEN67 803
DEN68 10875
DEN68 11646
DEN68 9885
DEN69 6689
DEN70 6689
DEN71 10875
DEN71 6689
DEN71 4681
DEN71 10602
DEN72 10875
DEN72 10449
DEN72 7171
DEN72 6689
DEN72 4681
DEN73 6689
DEN74 2817
DEN74 4681
DEN74 1498
DEN74 1953
DEN74 3979
DEN74 2275
DEN74 2054
DEN74 686
DEN75 517
DEN75 267
DEN75 445
DEN75 803
DEN76 4222
DEN76 803
DEN77 6689
DEN78 3979
DEN79 6689
DEN80 10602
DEN80 9885
DEN80 10656
DEN80 6689
DEN80 7009
DEN81 1754
DEN81 1498
DEN82 10449
DEN82 10602
DEN82 10656
DEN83 1954
DEN83 10449
DEN84 2275
DEN84 2054
DEN85 4681
DEN85 2055
DEN86 7326
DEN86 7246
DEN87 3979
DEN87 4221
DEN88 6851
DEN89 10875
DEN89 10876
DEN90 10875
DEN90 10449
DEN90 7010
DEN91 10449
DEN91 11034
DEN91 10875
DEN91 10825
DEN92 10602
DEN93 441
DEN94 10875
DEN94 10449
DEN95 806
DEN95 847
DEN95 1008
DEN96 441
DEN96 443
DEN97 3361
DEN98 4681
