VE_REF freq
DEN1 0.1276
DEN1 0.1364
DEN1 0.0273
DEN1 0.1091
DEN1 0.0546
DEN1 0.0637
DEN1 0.0182
DEN1 0.0637
DEN1 0.1
DEN1 0.0091
DEN1 0.0091
DEN1 0.0182
DEN1 0.0091
DEN1 0.0091
DEN1 0.0091
DEN1 0.1182
DEN1 0.0812
DEN1 0.0182
DEN1 0.0091
DEN1 0.0091
DEN2 0.0238
DEN2 0.0714
DEN2 0.2143
DEN2 0.0714
DEN2 0.0238
DEN2 0.1905
DEN2 0.0714
DEN2 0.0238
DEN2 0.0714
DEN2 0.0238
DEN2 0.0238
DEN2 0.0238
DEN2 0.0238
DEN2 0.0238
DEN2 0.0238
DEN2 0.0238
DEN2 0.0238
DEN2 0.0238
DEN2 0.0238
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0166
DEN3 0.0111
DEN3 0.0111
DEN3 0.0111
DEN3 0.0277
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0166
DEN3 0.0279
DEN3 0.0055
DEN3 0.0055
DEN3 0.0111
DEN3 0.0055
DEN3 0.0111
DEN3 0.0111
DEN3 0.0111
DEN3 0.0055
DEN3 0.0055
DEN3 0.0111
DEN3 0.0166
DEN3 0.0055
DEN3 0.0166
DEN3 0.0277
DEN3 0.0055
DEN3 0.0111
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0111
DEN3 0.0055
DEN3 0.0166
DEN3 0.0055
DEN3 0.0055
DEN3 0.0057
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0111
DEN3 0.0166
DEN3 0.0055
DEN3 0.0055
DEN3 0.0446
DEN3 0.0168
DEN3 0.0055
DEN3 0.0333
DEN3 0.0388
DEN3 0.0333
DEN3 0.0388
DEN3 0.0224
DEN3 0.0277
DEN3 0.0111
DEN3 0.0111
DEN3 0.0166
DEN3 0.0335
DEN3 0.0111
DEN3 0.0055
DEN3 0.0111
DEN3 0.0111
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0111
DEN3 0.0055
DEN3 0.0055
DEN3 0.0057
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN3 0.0111
DEN3 0.0055
DEN3 0.0111
DEN3 0.0055
DEN3 0.0055
DEN3 0.0055
DEN4 0.4269
DEN4 0.521
DEN4 0.0417
DEN4 0.0104
DEN5 0.108
DEN5 0.036
DEN5 0.036
DEN5 0.009
DEN5 0.018
DEN5 0.09
DEN5 0.036
DEN5 0.054
DEN5 0.009
DEN5 0.027
DEN5 0.027
DEN5 0.009
DEN5 0.009
DEN5 0.018
DEN5 0.018
