VE_REF freq
DEN1 0.5
DEN1 0.5
DEN2 0.25
DEN2 0.25
DEN2 0.25
DEN2 0.25
DEN3 0.5
DEN3 0.5
DEN4 1
DEN5 0.5
DEN5 0.5
DEN6 0.25
DEN6 0.25
DEN6 0.25
DEN6 0.25
DEN8 0.5
DEN8 0.5
DEN9 1
DEN10 1
DEN11 0.33
DEN11 0.33
DEN11 0.33
DEN12 0.5
DEN12 0.5
DEN13 0.33
DEN13 0.33
DEN13 0.33
DEN15 0.5
DEN15 0.5
DEN16 0.2
DEN16 0.2
DEN16 0.2
DEN16 0.2
DEN16 0.2
DEN17 0.25
DEN17 0.25
DEN17 0.25
DEN17 0.25
DEN18 0.25
DEN18 0.25
DEN18 0.25
DEN18 0.25
DEN19 0.33
DEN19 0.33
DEN19 0.33
DEN20 0.33
DEN20 0.33
DEN20 0.33
DEN21 0.5
DEN21 0.5
DEN22 0.5
DEN22 0.5
DEN23 0.25
DEN23 0.25
DEN23 0.25
DEN23 0.25
DEN25 1
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN26 0.08
DEN27 0.33
DEN27 0.33
DEN27 0.33
DEN28 0.25
DEN28 0.25
DEN28 0.25
DEN28 0.25
DEN29 0.33
DEN29 0.33
DEN29 0.33
DEN30 0.5
DEN30 0.5
DEN31 0.5
DEN31 0.5
DEN32 0.5
DEN32 0.5
DEN33 0.25
DEN33 0.25
DEN33 0.25
DEN33 0.25
DEN34 1
DEN35 0.5
DEN35 0.5
DEN36 0.5
DEN36 0.5
DEN37 0.2
DEN37 0.2
DEN37 0.2
DEN37 0.2
DEN37 0.2
DEN38 0.17
DEN38 0.17
DEN38 0.17
DEN38 0.17
DEN38 0.17
DEN38 0.17
DEN39 0.5
DEN39 0.5
DEN40 0.5
DEN40 0.5
DEN41 1
DEN42 0.5
DEN42 0.5
DEN43 0.5
DEN43 0.5
DEN44 0.17
DEN44 0.17
DEN44 0.17
DEN44 0.17
DEN44 0.17
DEN44 0.17
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN45 0.06
DEN46 0.11
DEN46 0.11
DEN46 0.11
DEN46 0.11
DEN46 0.11
DEN46 0.11
DEN46 0.11
DEN46 0.11
DEN46 0.11
DEN47 0.25
DEN47 0.25
DEN47 0.25
DEN47 0.25
DEN48 0.33
DEN48 0.33
DEN48 0.33
DEN49 0.17
DEN49 0.17
DEN49 0.17
DEN49 0.17
DEN49 0.17
DEN49 0.17
DEN50 1
DEN51 0.33
DEN51 0.33
DEN51 0.33
DEN52 0.33
DEN52 0.33
DEN52 0.33
DEN53 1
DEN54 1
DEN55 0.33
DEN55 0.33
DEN55 0.33
DEN56 0.08
DEN56 0.08
DEN56 0.08
DEN56 0.08
DEN56 0.08
DEN56 0.08
DEN56 0.08
DEN56 0.08
DEN56 0.08
DEN56 0.08
DEN56 0.08
DEN56 0.08
DEN57 0.5
DEN57 0.5
DEN58 1
DEN59 0.11
DEN59 0.11
DEN59 0.11
DEN59 0.11
DEN59 0.11
DEN59 0.11
DEN59 0.11
DEN59 0.11
DEN59 0.11
DEN60 1
DEN61 1
DEN62 0.5
DEN62 0.5
DEN63 0.14
DEN63 0.14
DEN63 0.14
DEN63 0.14
DEN63 0.14
DEN63 0.14
DEN63 0.14
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN64 0.08
DEN65 0.33
DEN65 0.33
DEN65 0.33
DEN66 0.5
DEN66 0.5
DEN67 0.25
DEN67 0.25
DEN67 0.25
DEN67 0.25
DEN68 0.5
DEN68 0.5
DEN69 0.2
DEN69 0.2
DEN69 0.2
DEN69 0.2
DEN69 0.2
DEN70 0.12
DEN70 0.12
DEN70 0.12
DEN70 0.12
DEN70 0.12
DEN70 0.12
DEN70 0.12
DEN70 0.12
DEN71 1
DEN72 1
DEN73 0.33
DEN73 0.33
DEN73 0.33
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN74 0.07
DEN75 1
DEN76 0.5
DEN76 0.5
DEN77 1
DEN78 1
DEN79 1
DEN80 0.2
DEN80 0.2
DEN80 0.2
DEN80 0.2
DEN80 0.2
DEN81 0.14
DEN81 0.14
DEN81 0.14
DEN81 0.14
DEN81 0.14
DEN81 0.14
DEN81 0.14
DEN82 0.33
DEN82 0.33
DEN82 0.33
DEN83 0.25
DEN83 0.25
DEN83 0.25
DEN83 0.25
DEN84 0.25
DEN84 0.25
DEN84 0.25
DEN84 0.25
DEN85 0.25
DEN85 0.25
DEN85 0.25
DEN85 0.25
DEN86 1
DEN87 1
