VE_REF pt_graph
DEN1 2408
DEN1 2429
DEN1 2511
DEN1 2466
DEN1 2493
DEN1 2356
DEN1 2333
DEN1 2287
DEN1 2341
DEN1 2184
DEN1 2521
DEN1 2211
DEN1 2674
DEN1 2950
DEN1 2929
DEN1 2783
DEN2 10883
DEN2 10839
DEN2 10856
DEN2 10893
DEN2 10909
DEN2 10920
DEN2 10897
DEN2 10844
DEN2 10842
DEN2 10887
DEN2 10962
DEN2 10880
DEN2 10901
DEN2 10929
DEN2 10847
DEN2 10892
DEN3 9496
DEN3 10920
DEN3 10963
DEN3 10909
DEN3 10926
DEN3 10887
DEN3 10883
DEN3 8513
DEN3 8381
DEN3 8564
DEN3 8567
DEN3 8793
DEN3 8427
DEN3 8218
DEN3 8301
DEN3 8275
DEN3 8202
DEN3 8333
DEN3 10899
DEN3 10918
DEN3 10891
DEN3 10930
DEN3 10959
DEN3 10962
DEN3 10904
DEN3 8354
DEN3 8375
DEN3 8400
DEN3 8452
DEN3 8525
DEN3 8437
DEN3 10492
DEN3 10367
DEN3 9552
DEN3 9741
DEN3 9656
DEN3 9844
DEN3 9922
DEN3 9766
DEN3 9666
DEN3 9053
DEN3 8978
DEN3 8912
DEN3 8730
DEN3 8639
DEN3 8532
DEN3 8596
DEN3 8403
DEN3 8362
DEN3 10942
DEN3 10913
DEN3 10934
DEN3 10922
DEN3 10935
DEN3 10986
DEN3 10988
DEN3 10968
DEN4 7021
DEN4 6630
DEN4 6647
DEN4 6808
DEN4 7694
DEN4 7649
DEN4 6682
DEN4 6764
DEN4 6552
DEN4 6747
DEN4 6539
DEN4 6697
DEN4 6705
DEN4 6801
DEN4 6792
DEN4 6977
DEN4 6515
DEN4 6708
DEN4 6616
DEN4 6780
DEN4 6791
DEN4 6881
DEN4 6979
DEN4 6900
DEN4 6980
DEN4 6961
DEN4 6992
DEN4 6639
DEN4 7931
DEN4 7848
DEN4 7730
DEN4 7798
DEN4 7900
DEN4 7945
DEN4 7927
DEN5 985
DEN5 1059
DEN5 1153
DEN5 1124
DEN5 1033
DEN5 1004
DEN5 1113
DEN5 1023
DEN5 991
DEN5 1013
DEN5 1119
DEN5 1058
DEN5 975
DEN5 1186
DEN5 1042
DEN5 1006
DEN5 1029
DEN5 999
DEN5 1032
DEN5 1012
DEN5 1054
DEN5 905
DEN5 976
DEN5 954
DEN5 965
DEN5 946
DEN5 995
DEN5 909
DEN5 1005
DEN5 979
DEN5 1045
DEN5 1022
DEN5 1115
DEN5 1064
DEN5 1074
DEN5 904
DEN5 941
DEN5 1313
DEN5 1276
DEN5 1072
DEN6 11028
DEN6 11023
DEN6 11008
DEN6 10988
DEN6 11037
DEN6 10867
DEN6 11045
DEN6 11051
DEN6 11018
DEN6 11039
DEN6 8196
DEN6 8205
DEN6 8202
DEN6 8097
DEN6 8130
DEN6 9528
DEN6 11021
DEN6 11025
DEN7 6396
DEN7 6470
DEN7 6528
DEN7 6583
DEN7 6224
DEN7 6326
DEN7 7603
DEN7 7449
DEN7 6415
DEN7 6485
DEN7 6399
DEN7 6328
DEN7 6476
DEN7 255
DEN7 279
DEN7 259
DEN8 7149
DEN8 7387
DEN8 7320
DEN8 7021
DEN8 7762
DEN8 7973
DEN8 8089
DEN8 7984
DEN8 6992
DEN8 6721
DEN8 6796
DEN8 6608
DEN8 6552
DEN8 6539
DEN8 6735
DEN8 7644
DEN8 7312
DEN8 7709
DEN8 7829
DEN8 8038
DEN8 7979
DEN8 7619
DEN8 7429
DEN8 7212
DEN8 7201
DEN8 7691
DEN8 7868
DEN8 8131
DEN8 8231
DEN8 8108
DEN8 7538
DEN8 6616
DEN8 6473
DEN8 8014
DEN8 6977
DEN8 7144
DEN8 6945
DEN8 6788
DEN8 6693
DEN8 6602
DEN8 7510
DEN8 7086
DEN8 7287
DEN8 7694
DEN8 7679
DEN8 7459
