pt_graph LE_MET_level6
4081 8
8516 8
8726 8
8998 8
9308 8
8773 8
8604 8
8432 8
8314 8
8547 8
8441 8
8605 8
8602 8
8552 8
4767 8
4706 8
4735 8
4593 8
4598 8
4508 8
4605 8
4691 8
4461 8
4778 8
4882 8
4532 8
4795 8
4708 8
4492 8
4501 8
5051 8
5478 8
4954 8
4353 8
4406 8
4102 8
4374 8
4394 8
4424 8
4241 8
4525 8
4530 8
4467 8
5500 8
5161 8
4576 8
4349 8
4731 8
5277 8
5749 8
8666 8
8917 8
4316 8
4370 8
4251 8
4237 8
4606 8
4229 8
4664 8
4766 8
5024 8
5191 8
4855 8
4907 8
5139 8
5046 8
4585 8
5058 8
5141 8
5260 8
5201 8
5026 8
5273 8
4273 8
4407 8
4388 8
3822 8
4378 8
4846 8
3910 8
4302 8
4980 8
5445 8
5251 8
5140 8
5587 8
5188 8
4188 8
4462 8
5391 8
4402 8
4879 8
4126 8
5266 8
4393 8
4724 8
4193 8
3993 8
4454 8
5084 8
4147 8
4586 8
4239 8
4967 8
3563 8
3845 8
3616 8
4412 8
5215 8
5415 8
5471 8
5353 8
4817 8
4903 8
4940 8
4923 8
3969 8
5023 8
4685 8
4286 8
4110 8
10929 8
10959 8
10953 8
10988 8
10976 8
10970 8
10967 8
10958 8
10978 8
10971 8
10942 8
10945 8
10918 8
10935 8
10916 8
10941 8
10948 8
10922 8
10939 8
10972 8
10949 8
10901 8
10930 8
10961 8
10946 8
10914 8
10899 8
10993 8
10962 8
