VE_REF beta.se.VE_REF
DEN27 0.25789
DEN27 0.33491
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN27 0.18325
DEN27 0
DEN27 0
DEN27 0
DEN27 0.45478
DEN27 0
DEN27 0
DEN27 0.56151
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN27 0.28931
DEN27 0
DEN27 0.16127
DEN27 0
DEN27 0.29624
DEN27 0.32836
DEN27 0
DEN27 0.19661
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN27 0
DEN127 0.26907
DEN127 0.11077
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0.19861
DEN127 0.2968
DEN127 0.32823
DEN127 0.12767
DEN127 0.4664
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0.17488
DEN127 0
DEN127 0.6808
DEN127 0.41428
DEN127 0.32233
DEN127 0.31298
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN127 0
DEN129 0.64006
DEN129 0.48972
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0.2881
DEN129 0
DEN129 0
DEN129 0
DEN129 0.54276
DEN129 0
DEN129 0
DEN129 0.16882
DEN129 0.16835
DEN129 0.11323
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0.43534
DEN129 0.93629
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN129 0
DEN130 0.44954
DEN130 0.07555
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0.14749
DEN130 0.20897
DEN130 0
DEN130 0.13271
DEN130 0.44467
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0.18613
DEN130 0
DEN130 0.83468
DEN130 0.31974
DEN130 0
DEN130 0.12954
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
DEN130 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
GER40 0
