VE_REF pt_graph
DEN1 2402
DEN1 2546
DEN2 10875
DEN2 8755
DEN2 7170
DEN2 4681
DEN3 10875
DEN3 11034
DEN4 803
DEN5 1086
DEN5 1582
DEN6 9885
DEN6 10610
DEN6 10656
DEN6 445
DEN8 7010
DEN8 10449
DEN9 7010
DEN10 670
DEN11 6121
DEN11 445
DEN11 517
DEN12 6689
DEN12 4681
DEN13 10449
DEN13 10450
DEN13 10875
DEN15 10875
DEN15 11034
DEN16 1048
DEN16 10875
DEN16 1086
DEN16 899
DEN16 1498
DEN17 7010
DEN17 7009
DEN17 6689
DEN17 4681
DEN18 6851
DEN18 10875
DEN18 10449
DEN18 10602
DEN19 10656
DEN19 10602
DEN19 10610
DEN20 7010
DEN20 10875
DEN20 10449
DEN21 6689
DEN21 4681
DEN22 11034
DEN22 10875
DEN23 1954
DEN23 6689
DEN23 1498
DEN23 4681
DEN25 1861
DEN26 1953
DEN26 3979
DEN26 6689
DEN26 1498
DEN26 1754
DEN26 517
DEN26 445
DEN26 441
DEN26 440
DEN26 449
DEN26 1009
DEN26 1147
DEN26 1582
DEN27 445
DEN27 517
DEN27 803
DEN28 6851
DEN28 7009
DEN28 5703
DEN28 4681
DEN29 6851
DEN29 10875
DEN29 10449
DEN30 10875
DEN30 11034
DEN31 10875
DEN31 11034
DEN32 441
DEN32 445
DEN33 7010
DEN33 10875
DEN33 10449
DEN33 1954
DEN34 10875
DEN35 3729
DEN35 3610
DEN36 445
DEN36 517
DEN37 6689
DEN37 7009
DEN37 6851
DEN37 6121
DEN37 7010
DEN38 2402
DEN38 441
DEN38 443
DEN38 445
DEN38 512
DEN38 2546
DEN39 10875
DEN39 10449
DEN40 2275
DEN40 803
DEN41 803
DEN42 441
DEN42 440
DEN43 1953
DEN43 1756
DEN44 1954
DEN44 2403
DEN44 2402
DEN44 2546
DEN44 1086
DEN44 1048
DEN45 1953
DEN45 1954
DEN45 2054
DEN45 1955
DEN45 893
DEN45 1048
DEN45 686
DEN45 1498
DEN45 517
DEN45 441
DEN45 440
DEN45 445
DEN45 1009
DEN45 1147
DEN45 1582
DEN45 6689
DEN45 4681
DEN46 1953
DEN46 1955
DEN46 1954
DEN46 2275
DEN46 893
DEN46 1756
DEN46 3979
DEN46 6689
DEN46 4681
DEN47 6689
DEN47 6851
DEN47 6121
DEN47 7010
DEN48 4222
DEN48 10875
DEN48 10449
DEN49 1954
DEN49 10449
DEN49 7010
DEN49 10450
DEN49 10875
DEN49 6121
DEN50 6689
DEN51 1954
DEN51 10449
DEN51 7010
DEN52 7010
DEN52 10875
DEN52 10449
DEN53 445
DEN54 445
DEN55 1953
DEN55 2817
DEN55 3613
DEN56 686
DEN56 1048
DEN56 6689
DEN56 4681
DEN56 1147
DEN56 449
DEN56 512
DEN56 445
DEN56 441
DEN56 6851
DEN56 7010
DEN56 7171
DEN57 2817
DEN57 4681
DEN58 10875
DEN59 2055
DEN59 2817
DEN59 4681
DEN59 1754
DEN59 517
DEN59 445
DEN59 441
DEN59 449
DEN59 2056
DEN60 445
DEN61 10876
DEN62 6689
DEN62 4681
DEN63 6851
DEN63 7171
DEN63 1498
DEN63 6689
DEN63 1754
DEN63 803
DEN63 1755
DEN64 1953
DEN64 3979
DEN64 6689
DEN64 4681
DEN64 1498
DEN64 1754
DEN64 517
DEN64 441
DEN64 440
DEN64 445
DEN64 512
DEN64 1009
DEN64 2817
DEN65 6851
DEN65 10875
DEN65 10449
DEN66 803
DEN66 517
DEN67 10875
DEN67 11034
DEN67 10602
DEN67 6689
DEN68 10875
DEN68 11034
DEN69 1086
DEN69 10875
DEN69 1955
DEN69 2275
DEN69 6689
DEN70 6689
DEN70 1009
DEN70 449
DEN70 512
DEN70 517
DEN70 441
DEN70 445
DEN70 4681
DEN71 10875
DEN72 10875
DEN73 6689
DEN73 1147
DEN73 1009
DEN74 1953
DEN74 3979
DEN74 2817
DEN74 2275
DEN74 1048
DEN74 517
DEN74 441
DEN74 445
DEN74 449
DEN74 1009
DEN74 1147
DEN74 1498
DEN74 1754
DEN74 4681
DEN75 517
DEN76 4222
DEN76 10875
DEN77 6689
DEN78 3979
DEN79 6689
DEN80 10656
DEN80 11034
DEN80 10610
DEN80 10602
DEN80 9885
DEN81 700
DEN81 686
DEN81 670
DEN81 635
DEN81 1498
DEN81 1754
DEN81 1755
DEN82 10449
DEN82 10602
DEN82 10875
DEN83 1954
DEN83 10875
DEN83 10449
DEN83 7010
DEN84 893
DEN84 1048
DEN84 1955
DEN84 2275
DEN85 1048
DEN85 4681
DEN85 2055
DEN85 1498
DEN86 7326
DEN87 3979
DEN88 6851
DEN89 10875
DEN89 10449
DEN90 10875
DEN91 10875
DEN91 11034
DEN92 10656
DEN92 10610
DEN92 10602
DEN94 10875
DEN95 847
DEN95 806
DEN96 441
DEN96 445
DEN97 1953
DEN97 3361
DEN98 1754
DEN98 1498
DEN98 6689
DEN98 4681
DEN99 1953
DEN99 3979
DEN101 445
DEN101 517
DEN101 441
DEN101 803
DEN101 443
DEN102 1954
DEN102 10449
DEN102 7010
DEN104 670
DEN105 893
DEN105 767
DEN105 1147
DEN105 449
DEN105 441
DEN105 517
DEN105 445
DEN106 10656
DEN106 10602
DEN106 6689
DEN106 3979
DEN106 4681
DEN106 9885
DEN107 10875
DEN108 1754
DEN109 1086
DEN109 2275
DEN109 2817
DEN109 803
DEN109 1754
DEN109 6689
DEN110 445
DEN110 441
DEN111 10875
DEN111 9885
DEN111 10876
DEN111 10932
DEN111 10449
DEN111 1754
DEN111 445
DEN112 6689
DEN112 7171
DEN112 4681
DEN113 4222
DEN113 5881
DEN113 7009
DEN113 6689
DEN114 517
DEN114 803
DEN115 6851
DEN115 1498
DEN115 1754
DEN115 517
DEN115 803
DEN116 1754
DEN116 803
DEN117 441
DEN117 445
DEN118 700
DEN118 974
DEN118 582
DEN118 544
DEN118 441
DEN118 443
DEN119 670
DEN119 803
DEN119 440
DEN119 441
DEN119 445
DEN119 443
DEN120 893
DEN120 635
DEN120 767
DEN120 1147
DEN120 1009
DEN120 512
DEN120 517
DEN120 445
DEN121 11034
DEN121 10875
DEN121 10656
DEN121 10876
