VE_REF beta.VE_REF
GER0 0
GER0 0
GER0 0
GER0 6.62077
GER0 0
GER0 0
GER0 0
GER0 0
GER0 0
GER0 0
GER0 4.62153
GER0 5.05222
GER0 0
GER0 0
GER0 2.13465
GER0 0
GER0 0
GER0 0
GER0 0
GER0 0
GER0 0
GER0 0
GER0 0
GER0 3.93782
GER0 0
GER0 0
GER0 2.05573
GER0 0
GER0 0
GER0 0
GER0 0
GER0 0
GER0 0
GER0 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 4.17282
GER1 0
GER1 4.01359
GER1 7.44967
GER1 0
GER1 0
GER1 0
GER1 -30.06712
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0.71519
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER1 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 5.39091
GER2 0
GER2 0
GER2 0
GER2 2.49316
GER2 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 0
GER2 3.68671
GER2 0
GER2 0
GER2 3.01065
GER2 0
GER2 0
GER2 0
GER2 0
GER2 4.35437
GER2 0
GER2 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 6.15155
GER3 6.85982
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 3.56015
GER3 0
GER3 0
GER3 2.11823
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER3 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER4 0
GER5 0
GER5 0
GER5 0
GER5 9.50458
GER5 0
GER5 0
GER5 0
GER5 0
GER5 0
GER5 0
GER5 3.78614
GER5 4.76806
GER5 0
GER5 0
GER5 0.66642
GER5 0
GER5 0
GER5 0
GER5 0
GER5 0
GER5 0
GER5 0
GER5 0
GER5 3.52947
GER5 0
GER5 0
GER5 1.32628
GER5 0
GER5 0
GER5 0
GER5 0
GER5 0
GER5 0
GER5 0
GER6 0
GER6 0
GER6 0
GER6 0
