DEN1|8.42|34.184|15|128|27768|4997|9|0.4009|344.4429|8|1|1.1|1.1|0.2
DEN2|13.76|51.884|15|203|27768|4997|5|0.8703|109.7901|44|1|1.1|1.1|0.2
DEN3|14.41|41.972|15|161|27768|4997|22|0.5943|153.8688|37|1|1.1|1.1|0.2
DEN4|15.51|29.7|16|109|32506|5606|16|0.7384|194.7908|36|1|1.1|1.1|0.2
DEN5|10.24|33.712|14|126|23464|4420|12|0.6256|109.3869|14|1|1.1|1.1|0.2
DEN6|17.49|103.804|26|423|106334|13303|11|0.4223|57.987|126|1|1.1|1.1|0.2
DEN7|14.49|50.704|20|198|56044|8339|8|0.7091|285.1252|61|1|1.1|1.1|0.2
DEN8|15.53|56.132|17|221|37691|6244|11|0.5931|103.905|12|1|1.1|1.1|0.2
DEN9|12.66|45.748|15|177|27768|4997|9|0.9312|1846.6923|9|1|1.1|1.1|0.2
DEN10|12.54|34.184|15|128|27768|4997|7|1.6404|65.3053|22|1|1.1|1.1|0.2
DEN11|13.49|44.096|20|170|56044|8339|11|0.7137|69.7134|56|1|1.1|1.1|0.2
DEN12|15.13|53.772|15|211|27768|4997|22|1.5501|14.3429|13|1|1.1|1.1|0.2
DEN13|13.09|40.556|14|155|23464|4420|11|0.9308|40.322|20|1|1.1|1.1|0.2
DEN14|4.77|30.172|13|111|19581|3874|1|1|100|1000|1|1.1|1.1|0.2
DEN15|13.57|50.94|16|199|32506|5606|30|0.5255|224.4557|39|1|1.1|1.1|0.2
DEN16|13.45|34.184|14|128|23464|4420|7|0.8717|43.3539|15|1|1.1|1.1|0.2
DEN17|13.58|63.92|16|254|32506|5606|17|0.7541|61.5406|16|1|1.1|1.1|0.2
DEN18|14.56|33.476|16|125|32506|5606|11|0.7782|47.1854|22|1|1.1|1.1|0.2
DEN19|14.18|55.896|16|220|32506|5606|6|1.0741|45.1841|14|1|1.1|1.1|0.2
DEN20|15.18|33.712|16|126|32506|5606|29|0.4691|97.8364|29|1|1.1|1.1|0.2
DEN21|15.38|90.116|20|365|56044|8339|18|1.0135|26.4279|18|1|1.1|1.1|0.2
DEN22|13.95|118.672|26|486|106334|13303|24|0.9336|107.3512|150|1|1.1|1.1|0.2
DEN23|13.71|38.904|17|148|37691|6244|24|0.7182|61.2139|27|1|1.1|1.1|0.2
DEN24|12.22|34.42|13|129|19581|3874|4|1|100|1000|1|1.1|1.1|0.2
DEN25|12.11|31.588|13|117|19581|3874|12|1.4616|2010.5964|1000|1|1.1|1.1|0.2
DEN26|13.33|64.864|16|258|32506|5606|23|0.6703|64.6269|55|1|1.1|1.1|0.2
DEN27|16.01|137.317|33|565|190291|20336|23|0.6808|49.8399|70|1|1.1|1.1|0.2
DEN28|12.52|55.896|16|220|32506|5606|37|0.6886|63.3011|20|1|1.1|1.1|0.2
DEN29|14.49|50.94|16|199|32506|5606|7|0.9642|53.4598|79|1|1.1|1.1|0.2
DEN30|14.03|55.896|17|220|37691|6244|30|0.9694|34.0303|32|1|1.1|1.1|0.2
DEN31|13.82|56.132|17|221|37691|6244|41|0.5447|189.0954|50|1|1.1|1.1|0.2
DEN32|14|55.896|17|220|37691|6244|11|0.6467|100.3589|34|1|1.1|1.1|0.2
DEN33|15.26|67.46|17|269|37691|6244|35|0.4856|83.1655|36|1|1.1|1.1|0.2
DEN34|12.9|55.188|14|217|23464|4420|9|1.1301|41.7986|12|1|1.1|1.1|0.2
DEN35|9.41|33.712|16|126|32506|5606|8|0.6893|101.735|12|1|1.1|1.1|0.2
DEN36|14.62|47.4|20|184|56044|8339|27|0.5308|230.4451|121|1|1.1|1.1|0.2
