VE_REF freq
DEN1 1
DEN2 0.5
DEN2 0.5
DEN3 0.33
DEN3 0.33
DEN3 0.33
DEN4 1
DEN5 0.5
DEN5 0.5
DEN8 1
DEN9 1
DEN11 0.25
DEN11 0.25
DEN11 0.25
DEN11 0.25
DEN12 0.5
DEN12 0.5
DEN13 0.5
DEN13 0.5
DEN14 0.33
DEN14 0.33
DEN14 0.33
DEN15 0.17
DEN15 0.17
DEN15 0.17
DEN15 0.17
DEN15 0.17
DEN15 0.17
DEN16 0.2
DEN16 0.2
DEN16 0.2
DEN16 0.2
DEN16 0.2
DEN17 0.5
DEN17 0.5
DEN18 1
DEN19 0.33
DEN19 0.33
DEN19 0.33
DEN20 0.33
DEN20 0.33
DEN20 0.33
DEN21 1
DEN22 0.25
DEN22 0.25
DEN22 0.25
DEN22 0.25
DEN23 0.17
DEN23 0.17
DEN23 0.17
DEN23 0.17
DEN23 0.17
DEN23 0.17
DEN25 1
DEN26 0.5
DEN26 0.5
DEN27 0.5
DEN27 0.5
DEN28 0.5
DEN28 0.5
DEN29 0.5
DEN29 0.5
DEN30 0.33
DEN30 0.33
DEN30 0.33
DEN31 0.2
DEN31 0.2
DEN31 0.2
DEN31 0.2
DEN31 0.2
DEN32 0.5
DEN32 0.5
DEN33 0.5
DEN33 0.5
DEN34 0.33
DEN34 0.33
DEN34 0.33
DEN35 0.5
DEN35 0.5
DEN36 0.5
DEN36 0.5
DEN37 0.14
DEN37 0.14
DEN37 0.14
DEN37 0.14
DEN37 0.14
DEN37 0.14
DEN37 0.14
DEN38 0.25
DEN38 0.25
DEN38 0.25
DEN38 0.25
DEN39 0.5
DEN39 0.5
DEN40 1
DEN41 0.2
DEN41 0.2
DEN41 0.2
DEN41 0.2
DEN41 0.2
DEN42 1
DEN43 0.5
DEN43 0.5
DEN44 1
DEN45 0.2
DEN45 0.2
DEN45 0.2
DEN45 0.2
DEN45 0.2
DEN46 0.2
DEN46 0.2
DEN46 0.2
DEN46 0.2
DEN46 0.2
DEN47 0.5
DEN47 0.5
DEN48 0.25
DEN48 0.25
DEN48 0.25
DEN48 0.25
DEN49 0.33
DEN49 0.33
DEN49 0.33
DEN50 1
DEN51 0.5
DEN51 0.5
DEN52 0.17
DEN52 0.17
DEN52 0.17
DEN52 0.17
DEN52 0.17
DEN52 0.17
DEN53 1
DEN54 1
DEN55 0.5
DEN55 0.5
DEN56 0.25
DEN56 0.25
DEN56 0.25
DEN56 0.25
DEN57 0.5
DEN57 0.5
DEN58 0.5
DEN58 0.5
DEN59 0.33
DEN59 0.33
DEN59 0.33
DEN60 0.5
DEN60 0.5
DEN61 0.33
DEN61 0.33
DEN61 0.33
DEN62 0.5
DEN62 0.5
DEN63 0.25
DEN63 0.25
DEN63 0.25
DEN63 0.25
DEN64 0.17
DEN64 0.17
DEN64 0.17
DEN64 0.17
DEN64 0.17
DEN64 0.17
DEN65 0.25
DEN65 0.25
DEN65 0.25
DEN65 0.25
DEN66 0.5
DEN66 0.5
DEN67 0.17
DEN67 0.17
DEN67 0.17
DEN67 0.17
DEN67 0.17
DEN67 0.17
DEN68 0.33
DEN68 0.33
DEN68 0.33
DEN69 1
DEN70 1
DEN71 0.25
DEN71 0.25
DEN71 0.25
DEN71 0.25
DEN72 0.2
DEN72 0.2
DEN72 0.2
DEN72 0.2
DEN72 0.2
DEN73 1
DEN74 0.12
DEN74 0.12
DEN74 0.12
DEN74 0.12
DEN74 0.12
DEN74 0.12
DEN74 0.12
DEN74 0.12
DEN75 0.25
DEN75 0.25
DEN75 0.25
DEN75 0.25
DEN76 0.5
DEN76 0.5
DEN77 1
DEN78 1
DEN79 1
DEN80 0.2
DEN80 0.2
DEN80 0.2
DEN80 0.2
DEN80 0.2
DEN81 0.5
DEN81 0.5
DEN82 0.33
DEN82 0.33
DEN82 0.33
DEN83 0.5
DEN83 0.5
DEN84 0.5
DEN84 0.5
DEN85 0.5
DEN85 0.5
DEN86 0.5
DEN86 0.5
DEN87 0.5
DEN87 0.5
DEN88 1
DEN89 0.5
DEN89 0.5
DEN90 0.33
DEN90 0.33
DEN90 0.33
DEN91 0.25
DEN91 0.25
DEN91 0.25
DEN91 0.25
DEN92 1
DEN93 1
DEN94 0.5
DEN94 0.5
DEN95 0.33
DEN95 0.33
DEN95 0.33
DEN96 0.5
DEN96 0.5
DEN97 1
DEN98 0.33
DEN98 0.33
DEN98 0.33
DEN101 0.33
DEN101 0.33
DEN101 0.33
DEN102 0.33
DEN102 0.33
DEN102 0.33
DEN103 0.5
DEN103 0.5
DEN104 0.14
DEN104 0.14
DEN104 0.14
DEN104 0.14
DEN104 0.14
DEN104 0.14
DEN104 0.14
DEN105 0.2
DEN105 0.2
DEN105 0.2
DEN105 0.2
DEN105 0.2
DEN106 0.2
DEN106 0.2
DEN106 0.2
DEN106 0.2
DEN106 0.2
DEN107 0.25
DEN107 0.25
DEN107 0.25
DEN107 0.25
DEN108 0.5
DEN108 0.5
DEN109 0.25
DEN109 0.25
DEN109 0.25
DEN109 0.25
DEN110 1
DEN111 0.17
DEN111 0.17
DEN111 0.17
DEN111 0.17
DEN111 0.17
DEN111 0.17
DEN112 0.5
DEN112 0.5
DEN113 1
DEN114 0.33
DEN114 0.33
DEN114 0.33
DEN115 0.17
DEN115 0.17
DEN115 0.17
DEN115 0.17
DEN115 0.17
DEN115 0.17
DEN116 0.33
DEN116 0.33
DEN116 0.33
DEN117 0.5
DEN117 0.5
DEN118 0.33
DEN118 0.33
DEN118 0.33
DEN119 0.17
DEN119 0.17
DEN119 0.17
DEN119 0.17
DEN119 0.17
DEN119 0.17
DEN120 0.14
DEN120 0.14
DEN120 0.14
DEN120 0.14
DEN120 0.14
DEN120 0.14
DEN120 0.14
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN122 0.33
DEN122 0.33
DEN122 0.33
DEN123 0.17
DEN123 0.17
DEN123 0.17
DEN123 0.17
DEN123 0.17
DEN123 0.17
DEN124 1
DEN125 0.33
DEN125 0.33
DEN125 0.33
DEN126 0.5
DEN126 0.5
DEN127 0.2
DEN127 0.2
DEN127 0.2
DEN127 0.2
DEN127 0.2
DEN128 0.5
DEN128 0.5
DEN129 0.33
DEN129 0.33
DEN129 0.33
DEN130 0.12
DEN130 0.12
DEN130 0.12
DEN130 0.12
DEN130 0.12
DEN130 0.12
DEN130 0.12
DEN130 0.12
DEN131 0.11
DEN131 0.11
DEN131 0.11
DEN131 0.11
DEN131 0.11
DEN131 0.11
DEN131 0.11
DEN131 0.11
DEN131 0.11
DEN132 0.25
DEN132 0.25
DEN132 0.25
DEN132 0.25
DEN133 1
DEN134 0.2
DEN134 0.2
DEN134 0.2
DEN134 0.2
DEN134 0.2
DEN135 0.5
DEN135 0.5
DEN136 0.5
DEN136 0.5
GER0 0.25
GER0 0.25
GER0 0.25
GER0 0.25
GER1 0.33
GER1 0.33
GER1 0.33
GER2 0.5
GER2 0.5
GER3 0.14
GER3 0.14
GER3 0.14
GER3 0.14
GER3 0.14
GER3 0.14
GER3 0.14
GER4 0.2
GER4 0.2
GER4 0.2
GER4 0.2
GER4 0.2
GER5 0.12
GER5 0.12
GER5 0.12
GER5 0.12
GER5 0.12
GER5 0.12
GER5 0.12
GER5 0.12
GER6 0.33
GER6 0.33
GER6 0.33
GER7 1
GER8 0.17
GER8 0.17
GER8 0.17
GER8 0.17
GER8 0.17
GER8 0.17
GER9 1
GER10 0.25
GER10 0.25
GER10 0.25
GER10 0.25
GER11 0.33
GER11 0.33
GER11 0.33
GER12 0.33
GER12 0.33
GER12 0.33
GER13 0.25
GER13 0.25
GER13 0.25
GER13 0.25
GER14 0.25
GER14 0.25
GER14 0.25
GER14 0.25
GER15 0.14
GER15 0.14
GER15 0.14
GER15 0.14
GER15 0.14
GER15 0.14
GER15 0.14
GER16 0.17
GER16 0.17
GER16 0.17
GER16 0.17
GER16 0.17
GER16 0.17
GER17 0.12
GER17 0.12
GER17 0.12
GER17 0.12
GER17 0.12
GER17 0.12
GER17 0.12
GER17 0.12
GER19 0.5
GER19 0.5
GER20 0.25
GER20 0.25
GER20 0.25
GER20 0.25
GER21 0.2
GER21 0.2
GER21 0.2
GER21 0.2
GER21 0.2
GER22 0.17
GER22 0.17
GER22 0.17
GER22 0.17
GER22 0.17
GER22 0.17
GER23 0.25
GER23 0.25
GER23 0.25
GER23 0.25
GER24 0.5
GER24 0.5
GER25 0.33
GER25 0.33
GER25 0.33
GER26 0.09
GER26 0.09
GER26 0.09
GER26 0.09
GER26 0.09
GER26 0.09
GER26 0.09
GER26 0.09
GER26 0.09
GER26 0.09
GER26 0.09
GER27 0.33
GER27 0.33
GER27 0.33
GER29 0.33
GER29 0.33
GER29 0.33
GER30 0.33
GER30 0.33
GER30 0.33
GER31 0.5
GER31 0.5
GER32 0.14
GER32 0.14
GER32 0.14
GER32 0.14
GER32 0.14
GER32 0.14
GER32 0.14
GER33 0.2
GER33 0.2
GER33 0.2
GER33 0.2
GER33 0.2
GER34 0.12
GER34 0.12
GER34 0.12
GER34 0.12
GER34 0.12
GER34 0.12
GER34 0.12
GER34 0.12
GER35 0.5
GER35 0.5
GER37 1
GER38 0.33
GER38 0.33
GER38 0.33
GER39 0.14
GER39 0.14
GER39 0.14
GER39 0.14
GER39 0.14
GER39 0.14
GER39 0.14
GER40 1
GER41 0.33
GER41 0.33
GER41 0.33
GER42 0.33
GER42 0.33
GER42 0.33
GER43 0.33
GER43 0.33
GER43 0.33
GER44 0.5
GER44 0.5
GER46 1
GER47 0.33
GER47 0.33
GER47 0.33
GER48 0.12
GER48 0.12
GER48 0.12
GER48 0.12
GER48 0.12
GER48 0.12
GER48 0.12
GER48 0.12
GER49 0.25
GER49 0.25
GER49 0.25
GER49 0.25
SWN0 0.5
SWN0 0.5
SWN11 1
SWN22 1
SWN33 0.5
SWN33 0.5
SWN44 1
SWN46 0.5
SWN46 0.5
SWN47 0.5
SWN47 0.5
SWN48 0.5
SWN48 0.5
SWN49 1
SWN3 0.33
SWN3 0.33
SWN3 0.33
SWN4 1
SWN5 1
SWN6 0.5
SWN6 0.5
SWN9 1
SWN10 1
SWN13 1
SWN14 1
SWN15 1
SWN16 0.5
SWN16 0.5
SWN17 1
SWN18 1
SWN20 1
SWN21 0.5
SWN21 0.5
SWN23 1
SWN24 1
SWN25 1
SWN26 1
SWN27 1
SWN28 0.25
SWN28 0.25
SWN28 0.25
SWN28 0.25
SWN29 0.33
SWN29 0.33
SWN29 0.33
SWN30 0.33
SWN30 0.33
SWN30 0.33
SWN31 0.5
SWN31 0.5
SWN32 0.5
SWN32 0.5
SWN34 0.5
SWN34 0.5
SWN35 1
SWN36 0.5
SWN36 0.5
SWN37 0.5
SWN37 0.5
SWN38 1
SWN39 1
SWN40 0.33
SWN40 0.33
SWN40 0.33
SWN42 1
SWN45 0.33
SWN45 0.33
SWN45 0.33
