pt_graph LE_MET_level6
8819 17
8926 17
8872 17
9056 17
8871 17
8999 17
8983 17
8962 17
8780 17
8840 17
8944 17
8709 17
8487 17
8398 17
8653 17
9430 17
9636 17
9460 17
8897 17
8954 17
8868 17
8977 17
9010 17
9788 17
9983 17
8899 17
9153 17
8855 17
8796 17
8902 17
8948 17
8786 17
8806 17
8896 17
8909 17
8904 17
9020 17
8690 17
8788 17
8602 17
8486 17
8630 17
8992 17
8857 17
8715 17
8787 17
9055 17
9118 17
9033 17
8921 17
8775 17
8738 17
8727 17
8671 17
8963 17
10961 8
10968 8
10976 8
10967 8
10999 8
11000 8
10978 8
11021 8
11005 8
11018 8
11003 8
11008 8
10994 8
10955 8
8773 8
8655 8
8509 8
8507 8
9009 8
9159 8
9061 8
8917 8
9126 8
8985 8
8944 8
8831 8
8826 8
8699 8
8898 8
8836 8
8805 8
8991 8
8788 8
8552 8
8522 8
8441 8
8516 8
8467 8
8346 8
8429 8
