VE_REF pt_graph
DEN1 2402
DEN2 10875
DEN3 6851
DEN3 10449
DEN3 10875
DEN4 7010
DEN5 1086
DEN6 445
DEN6 9885
DEN6 10610
DEN6 10656
DEN6 10875
DEN6 10449
DEN7 6121
DEN8 7010
DEN9 2055
DEN9 6121
DEN9 7010
DEN10 670
DEN11 512
DEN11 6121
DEN12 6689
DEN12 7171
DEN12 10449
DEN12 7010
DEN12 7009
DEN12 1954
DEN12 1048
DEN12 6121
DEN13 10449
DEN15 10875
DEN16 1048
DEN16 1086
DEN16 804
DEN17 7010
DEN18 6851
DEN18 10449
DEN18 7010
DEN18 1954
DEN19 10656
DEN19 10610
DEN19 10876
DEN19 10602
DEN20 1953
DEN20 1048
DEN20 4222
DEN20 2402
DEN20 7010
DEN21 7009
DEN21 6851
DEN21 6689
DEN21 7171
DEN21 7092
DEN21 10449
DEN22 10875
DEN22 11034
DEN23 1954
DEN23 2402
DEN23 6851
DEN23 7010
DEN23 5881
DEN24 3489
DEN25 1861
DEN25 1953
DEN26 1953
DEN26 10449
DEN26 7010
DEN27 445
DEN27 517
DEN27 803
DEN27 7171
DEN27 10449
DEN27 2817
DEN27 9885
DEN28 5703
DEN28 1953
DEN28 2546
DEN28 1086
DEN28 1048
DEN28 1954
DEN28 4222
DEN28 5881
DEN28 6851
DEN29 6851
DEN29 10449
DEN30 10875
DEN30 11034
DEN31 10875
DEN32 441
DEN32 445
DEN32 512
DEN32 1009
DEN32 1147
DEN32 2817
DEN32 5703
DEN32 6689
DEN32 4681
DEN32 447
DEN33 1954
DEN33 7010
DEN34 10875
DEN35 3729
DEN35 3610
DEN36 445
DEN36 512
DEN36 1009
DEN36 6121
DEN36 5881
DEN36 4222
DEN36 803
DEN36 517
DEN37 6689
DEN37 3979
DEN37 5703
DEN37 1955
DEN37 1048
DEN37 7171
DEN37 7010
DEN37 7009
DEN38 2402
DEN38 2546
DEN39 10875
DEN40 2275
DEN41 1086
DEN41 10875
DEN41 1955
DEN41 803
DEN42 6851
DEN42 1147
DEN42 449
DEN42 512
DEN42 445
DEN43 1953
DEN44 1954
DEN44 1048
DEN45 1953
DEN45 6121
DEN45 10875
DEN45 2275
DEN45 1955
DEN45 1954
DEN45 1048
DEN45 3610
DEN45 10449
DEN45 2402
DEN45 2546
DEN46 1953
DEN46 10449
DEN46 10875
DEN46 2402
DEN47 6689
DEN47 7171
DEN47 10449
DEN47 7009
DEN47 3979
DEN47 1955
DEN47 1048
DEN47 4222
DEN47 7010
DEN48 4222
DEN48 10450
DEN48 10449
DEN48 7010
DEN48 5881
DEN49 1954
DEN49 2402
DEN49 6851
DEN49 7010
DEN49 4222
DEN49 5881
DEN50 6689
DEN51 1954
DEN52 1954
DEN52 6121
DEN52 7010
DEN52 10449
DEN52 10450
DEN53 445
DEN53 449
DEN53 7171
DEN53 6121
DEN53 5881
DEN53 3729
DEN53 1009
DEN53 512
DEN54 6121
DEN54 1009
DEN54 512
DEN54 445
DEN55 1953
DEN56 1953
DEN56 2546
DEN56 2402
DEN56 2275
DEN56 1954
DEN56 1048
DEN56 1086
DEN56 4222
DEN56 6121
DEN56 7010
DEN56 1955
DEN56 686
DEN57 2817
DEN57 803
DEN57 1754
DEN58 10875
DEN59 2055
DEN59 3979
DEN59 2817
DEN59 1498
