VE_REF freq
DEN96 0.12
DEN96 0.12
DEN96 0.12
DEN96 0.12
DEN96 0.12
DEN97 1
DEN98 0.33
DEN98 0.33
DEN98 0.33
DEN99 1
DEN100 1
DEN101 0.17
DEN101 0.17
DEN101 0.17
DEN101 0.17
DEN101 0.17
DEN101 0.17
DEN102 0.5
DEN102 0.5
DEN103 0.09
DEN103 0.09
DEN103 0.09
DEN103 0.09
DEN103 0.09
DEN103 0.09
DEN103 0.09
DEN103 0.09
DEN103 0.09
DEN103 0.09
DEN103 0.09
DEN104 1
DEN105 0.33
DEN105 0.33
DEN105 0.33
DEN106 0.17
DEN106 0.17
DEN106 0.17
DEN106 0.17
DEN106 0.17
DEN106 0.17
DEN107 1
DEN108 0.25
DEN108 0.25
DEN108 0.25
DEN108 0.25
DEN109 0.25
DEN109 0.25
DEN109 0.25
DEN109 0.25
DEN110 0.17
DEN110 0.17
DEN110 0.17
DEN110 0.17
DEN110 0.17
DEN110 0.17
DEN111 0.11
DEN111 0.11
DEN111 0.11
DEN111 0.11
DEN111 0.11
DEN111 0.11
DEN111 0.11
DEN111 0.11
DEN111 0.11
DEN112 0.12
DEN112 0.12
DEN112 0.12
DEN112 0.12
DEN112 0.12
DEN112 0.12
DEN112 0.12
DEN112 0.12
DEN113 0.5
DEN113 0.5
DEN114 0.17
DEN114 0.17
DEN114 0.17
DEN114 0.17
DEN114 0.17
DEN114 0.17
DEN115 0.11
DEN115 0.11
DEN115 0.11
DEN115 0.11
DEN115 0.11
DEN115 0.11
DEN115 0.11
DEN115 0.11
DEN115 0.11
DEN116 0.17
DEN116 0.17
DEN116 0.17
DEN116 0.17
DEN116 0.17
DEN116 0.17
DEN117 0.12
DEN117 0.12
DEN117 0.12
DEN117 0.12
DEN117 0.12
DEN117 0.12
DEN117 0.12
DEN117 0.12
DEN118 0.33
DEN118 0.33
DEN118 0.33
DEN119 0.2
DEN119 0.2
DEN119 0.2
DEN119 0.2
DEN119 0.2
DEN120 0.25
DEN120 0.25
DEN120 0.25
