VE_REF pt_graph
DEN1 2402
DEN2 2817
DEN2 4681
DEN2 7170
DEN2 8755
DEN2 10875
DEN2 10876
DEN3 5703
DEN3 7009
DEN3 6851
DEN4 803
DEN4 7010
DEN5 1086
DEN8 7010
DEN8 7011
DEN8 10449
DEN9 7010
DEN9 1953
DEN11 517
DEN11 445
DEN11 446
DEN11 512
DEN11 6121
DEN11 5881
DEN12 6689
DEN13 10449
DEN14 806
DEN15 6689
DEN15 7009
DEN15 10875
DEN17 6689
DEN17 4681
DEN17 7010
DEN17 10449
DEN18 6851
DEN18 10449
DEN19 10602
DEN19 10656
DEN19 10610
DEN20 6689
DEN20 1953
DEN20 4681
DEN21 6689
DEN21 7092
DEN21 7009
DEN21 6851
DEN21 7171
DEN22 10875
DEN22 11034
DEN23 5703
DEN24 3489
DEN25 1861
DEN26 3979
DEN26 6689
DEN27 517
DEN27 445
DEN28 5703
DEN28 4681
DEN29 6851
DEN29 10875
DEN29 7010
DEN30 10875
DEN31 6689
DEN31 7171
DEN31 10875
DEN31 10876
DEN33 6689
DEN33 4681
DEN33 1954
DEN33 10449
DEN33 10875
DEN33 7010
DEN34 10875
DEN34 10876
DEN35 3610
DEN35 3729
DEN36 445
DEN37 6689
DEN37 7009
DEN37 5703
DEN38 2402
DEN38 2403
DEN39 10875
DEN40 803
DEN40 2817
DEN40 2275
DEN41 803
DEN41 517
DEN41 441
DEN41 440
DEN41 2275
DEN41 1086
DEN42 441
DEN42 440
DEN42 445
DEN42 449
DEN42 1009
DEN42 7009
DEN42 6851
DEN43 1953
DEN44 1954
DEN45 1953
DEN45 6689
DEN45 4681
DEN45 1086
DEN45 1048
DEN45 1955
DEN46 1953
DEN47 6689
DEN48 803
DEN48 4222
DEN49 1954
DEN49 10449
DEN49 9885
DEN49 10875
DEN49 7010
DEN50 6689
DEN51 1954
DEN51 10449
DEN51 9885
DEN51 7010
DEN52 6689
DEN52 2402
DEN52 1954
DEN52 7010
DEN52 10449
DEN53 445
DEN54 445
DEN54 1009
DEN54 6121
DEN55 1953
DEN56 6689
DEN57 2817
DEN57 4681
DEN58 10876
DEN58 10875
DEN59 2055
DEN59 4681
DEN59 6689
DEN60 267
DEN60 445
DEN60 1009
DEN60 1147
DEN60 6689
DEN60 6121
DEN60 5881
DEN61 10876
DEN62 6689
DEN63 1498
DEN63 1754
DEN63 6689
DEN65 5703
DEN65 4681
DEN65 6689
DEN65 7171
DEN65 6851
DEN66 803
DEN66 1582
DEN66 6689
DEN66 7009
DEN66 7171
DEN66 7246
DEN67 1754
DEN67 5703
DEN67 803
DEN67 4681
DEN67 6689
DEN67 7171
DEN67 10602
DEN67 10875
DEN68 10825
DEN68 10875
DEN68 9885
DEN68 10602
DEN68 10449
DEN68 11034
DEN69 6689
DEN69 1086
DEN70 6689
DEN70 7171
DEN70 6851
DEN70 7009
DEN70 7246
DEN71 10875
DEN72 6689
DEN72 7171
DEN72 10656
DEN72 10875
DEN73 6689
DEN74 3979
DEN74 6689
DEN74 1861
DEN74 2817
DEN74 1953
DEN75 517
DEN75 445
DEN75 803
DEN75 6851
DEN75 6121
DEN76 803
DEN76 4222
DEN77 6689
DEN77 1754
DEN77 1582
DEN78 3979
DEN79 6689
DEN79 5703
DEN80 10610
DEN80 6689
DEN80 4681
DEN80 10602
DEN80 10656
DEN80 9885
DEN80 10875
DEN81 1754
DEN81 670
DEN81 700
DEN82 10449
DEN82 10602
DEN83 1954
DEN84 2275
DEN84 1048
DEN84 1756
DEN84 893
DEN84 1953
DEN85 2055
DEN85 4681
DEN85 1955
DEN85 1048
DEN85 1086
DEN86 7326
DEN87 3979
DEN87 4221
DEN88 6851
DEN89 10875
DEN90 6689
DEN91 10876
DEN91 10875
DEN91 10610
DEN91 9018
DEN91 10449
DEN91 11034
DEN91 11646
DEN92 6689
DEN92 670
DEN92 700
DEN94 10875
DEN94 10876
DEN95 1008
DEN96 441
DEN96 544
DEN96 582
DEN96 597
DEN96 893
DEN97 3361
DEN97 1953
DEN98 6689
DEN98 4681
DEN98 7171
DEN98 6121
DEN99 1953
DEN99 1861
DEN99 2817
DEN99 3979
DEN101 441
DEN101 445
DEN102 1954
DEN103 6689
DEN103 2055
DEN103 4681
DEN104 670
DEN105 767
