VE_REF freq
DEN1 0.1244
DEN1 0.276
DEN1 0.0489
DEN1 0.1563
DEN1 0.0735
DEN1 0.0866
DEN1 0.0938
DEN1 0.0735
DEN1 0.0204
DEN1 0.0179
DEN1 0.0082
DEN1 0.0041
DEN1 0.0041
DEN1 0.0041
DEN1 0.0041
DEN1 0.0041
DEN2 0.1719
DEN2 0.0285
DEN2 0.0285
DEN2 0.2004
DEN2 0.1434
DEN2 0.0285
DEN2 0.0285
DEN2 0.057
DEN2 0.0285
DEN2 0.057
DEN2 0.057
DEN2 0.0285
DEN2 0.0285
DEN2 0.057
DEN2 0.0285
DEN2 0.0285
DEN3 0.0089
DEN3 0.0982
DEN3 0.0089
DEN3 0.0536
DEN3 0.0625
DEN3 0.0179
DEN3 0.0179
DEN3 0.0089
DEN3 0.0179
DEN3 0.0268
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0179
DEN3 0.0268
DEN3 0.0536
DEN3 0.0089
DEN3 0.0357
DEN3 0.0179
DEN3 0.0179
DEN3 0.0179
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0179
DEN3 0.0179
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0089
DEN3 0.0268
DEN3 0.0446
DEN3 0.0181
DEN3 0.0089
DEN3 0.0089
DEN3 0.0536
DEN3 0.0179
DEN3 0.0089
DEN4 0.012
DEN4 0.0301
DEN4 0.1197
DEN4 0.006
DEN4 0.0179
DEN4 0.006
DEN4 0.012
DEN4 0.012
DEN4 0.012
DEN4 0.0897
DEN4 0.0239
DEN4 0.0299
DEN4 0.0957
DEN4 0.0179
DEN4 0.0778
DEN4 0.0122
DEN4 0.012
DEN4 0.006
DEN4 0.0239
DEN4 0.0359
DEN4 0.0239
DEN4 0.0479
DEN4 0.012
DEN4 0.0479
DEN4 0.012
DEN4 0.0239
DEN4 0.006
DEN4 0.012
DEN4 0.0359
DEN4 0.0598
DEN4 0.0241
DEN4 0.006
DEN4 0.012
DEN4 0.0122
DEN4 0.012
DEN5 0.0693
DEN5 0.106
DEN5 0.0454
DEN5 0.0281
DEN5 0.0283
DEN5 0.0432
DEN5 0.0736
DEN5 0.0152
DEN5 0.0564
DEN5 0.0541
DEN5 0.0259
DEN5 0.0086
DEN5 0.0626
DEN5 0.0043
DEN5 0.0845
DEN5 0.0303
