pt_graph LE_MET_level6
2170 9
2159 9
1871 9
2145 9
2134 9
2400 9
2328 9
1968 9
2096 9
2543 9
2410 9
2722 9
2656 9
1412 9
1416 9
1860 9
2395 9
1745 9
1822 9
1813 9
1881 9
1991 9
2093 9
1583 9
1814 9
1836 9
1760 9
1729 9
1408 9
1859 9
1866 9
1703 9
1091 9
859 9
747 9
737 9
5396 9
5293 9
5192 9
5114 9
4946 9
4941 9
5116 9
5285 9
5352 9
5007 9
5080 9
4844 9
5077 9
5389 9
5110 9
5955 9
5863 9
5767 9
5760 9
5758 9
5979 9
6069 9
5982 9
5924 9
5731 9
5842 9
6159 9
6310 9
6500 9
6650 9
6664 9
6740 9
6743 9
6195 9
6283 9
6709 9
6856 9
7035 9
7122 9
7069 9
6962 9
7080 9
7137 9
7012 9
6959 9
6781 9
6636 9
6457 9
6382 9
6459 9
6447 9
7160 9
6843 9
6387 9
6391 9
6503 9
6545 9
6942 9
5893 9
5892 9
5794 9
6468 9
6437 9
6365 9
6354 9
6404 9
6757 9
7034 9
7015 9
6135 9
5988 9
5782 9
5656 9
5643 9
5738 9
5766 9
5850 9
5765 9
5626 9
5528 9
5424 9
5483 9
5501 9
5204 9
5286 9
5365 9
5377 9
5485 9
5763 9
5906 9
5915 9
5971 9
5977 9
6066 9
5807 9
5205 9
4943 9
5923 9
6002 9
6086 9
6063 9
6284 9
7121 9
6866 9
6914 9
6967 9
6871 9
6934 9
6839 9
6917 9
6824 9
6809 9
6955 9
7119 9
6106 9
5722 9
5647 9
5669 9
5916 9
5726 9
5550 9
5206 9
4955 9
4922 9
4800 9
5438 9
5522 9
6093 9
6146 9
4617 9
4668 9
3972 9
4114 9
4428 9
4721 9
4653 9
1087 9
4209 9
4433 9
4267 9
3992 9
3802 9
