VE_REF pt_graph
DNK000001391 2408
DNK000001391 2429
DNK000001391 2511
DNK000001391 2466
DNK000001391 2493
DNK000001391 2356
DNK000001391 2333
DNK000001391 2287
DNK000001391 2341
DNK000001391 2184
DNK000001391 2521
DNK000001391 2211
DNK000001391 2674
DNK000001391 2950
DNK000001391 2929
DNK000001391 2783
DNK000001403 10883
DNK000001403 10839
DNK000001403 10856
DNK000001403 10893
DNK000001403 10909
DNK000001403 10920
DNK000001403 10897
DNK000001403 10844
DNK000001403 10842
DNK000001403 10887
DNK000001403 10962
DNK000001403 10880
DNK000001403 10901
DNK000001403 10929
DNK000001403 10847
DNK000001403 10892
DNK000001946 9496
DNK000001946 10920
DNK000001946 10963
DNK000001946 10909
DNK000001946 10926
DNK000001946 10887
DNK000001946 10883
DNK000001946 8513
DNK000001946 8381
DNK000001946 8564
DNK000001946 8567
DNK000001946 8793
DNK000001946 8427
DNK000001946 8218
DNK000001946 8301
DNK000001946 8275
DNK000001946 8202
DNK000001946 8333
DNK000001946 10899
DNK000001946 10918
DNK000001946 10891
DNK000001946 10930
DNK000001946 10959
DNK000001946 10962
DNK000001946 10904
DNK000001946 8354
DNK000001946 8375
DNK000001946 8400
DNK000001946 8452
DNK000001946 8525
DNK000001946 8437
DNK000001946 10492
DNK000001946 10367
DNK000001946 9552
DNK000001946 9741
DNK000001946 9656
DNK000001946 9844
DNK000001946 9922
DNK000001946 9766
DNK000001946 9666
DNK000001946 9053
DNK000001946 8978
DNK000001946 8912
DNK000001946 8730
DNK000001946 8639
DNK000001946 8532
DNK000001946 8596
DNK000001946 8403
DNK000001946 8362
DNK000001946 10942
DNK000001946 10913
DNK000001946 10934
DNK000001946 10922
DNK000001946 10935
DNK000001946 10986
DNK000001946 10988
DNK000001946 10968
DNK000002280 7021
DNK000002280 6630
DNK000002280 6647
DNK000002280 6808
DNK000002280 7694
DNK000002280 7649
DNK000002280 6682
DNK000002280 6764
DNK000002280 6552
DNK000002280 6747
DNK000002280 6539
DNK000002280 6697
DNK000002280 6705
DNK000002280 6801
DNK000002280 6792
DNK000002280 6977
DNK000002280 6515
DNK000002280 6708
DNK000002280 6616
DNK000002280 6780
DNK000002280 6791
DNK000002280 6881
DNK000002280 6979
DNK000002280 6900
DNK000002280 6980
DNK000002280 6961
DNK000002280 6992
DNK000002280 6639
DNK000002280 7931
DNK000002280 7848
DNK000002280 7730
DNK000002280 7798
DNK000002280 7900
DNK000002280 7945
DNK000002280 7927
DNK000002382 985
DNK000002382 1059
DNK000002382 1153
DNK000002382 1124
DNK000002382 1033
DNK000002382 1004
DNK000002382 1113
DNK000002382 1023
DNK000002382 991
DNK000002382 1013
DNK000002382 1119
DNK000002382 1058
DNK000002382 975
DNK000002382 1186
DNK000002382 1042
DNK000002382 1006
DNK000002382 1029
DNK000002382 999
DNK000002382 1032
DNK000002382 1012
DNK000002382 1054
DNK000002382 905
DNK000002382 976
DNK000002382 954
DNK000002382 965
DNK000002382 946
DNK000002382 995
DNK000002382 909
DNK000002382 1005
DNK000002382 979
DNK000002382 1045
DNK000002382 1022
DNK000002382 1115
DNK000002382 1064
DNK000002382 1074
DNK000002382 904
DNK000002382 941
DNK000002382 1313
DNK000002382 1276
DNK000002382 1072
DNK000003296 11028
DNK000003296 11023
DNK000003296 11008
DNK000003296 10988
DNK000003296 11037
DNK000003296 10867
DNK000003296 11045
DNK000003296 11051
DNK000003296 11018
DNK000003296 11039
DNK000003296 8196
DNK000003296 8205
DNK000003296 8202
DNK000003296 8097
DNK000003296 8130
DNK000003296 9528
DNK000003296 11021
DNK000003296 11025
DNK000003612 6396
DNK000003612 6470
DNK000003612 6528
DNK000003612 6583
DNK000003612 6224
DNK000003612 6326
DNK000003612 7603
DNK000003612 7449
DNK000003612 6415
DNK000003612 6485
DNK000003612 6399
DNK000003612 6328
DNK000003612 6476
DNK000003612 255
DNK000003612 279
DNK000003612 259
DNK000004838 7149
DNK000004838 7387
DNK000004838 7320
DNK000004838 7021
DNK000004838 7762
DNK000004838 7973
DNK000004838 8089
DNK000004838 7984
DNK000004838 6992
DNK000004838 6721
DNK000004838 6796
DNK000004838 6608
DNK000004838 6552
DNK000004838 6539
DNK000004838 6735
DNK000004838 7644
DNK000004838 7312
DNK000004838 7709
DNK000004838 7829
DNK000004838 8038
DNK000004838 7979
DNK000004838 7619
DNK000004838 7429
DNK000004838 7212
DNK000004838 7201
DNK000004838 7691
DNK000004838 7868
DNK000004838 8131
DNK000004838 8231
DNK000004838 8108
DNK000004838 7538
DNK000004838 6616
DNK000004838 6473
DNK000004838 8014
DNK000004838 6977
DNK000004838 7144
DNK000004838 6945
DNK000004838 6788
DNK000004838 6693
DNK000004838 6602
DNK000004838 7510
DNK000004838 7086
DNK000004838 7287
DNK000004838 7694
DNK000004838 7679
DNK000004838 7459
DNK000004838 7801
DNK000004963 6859
DNK000004963 6805
DNK000004963 6699
DNK000004963 6736
DNK000004963 7021
DNK000004963 6873
DNK000004963 7149
DNK000004963 6992
DNK000004963 6911
DNK000004963 6791
DNK000004963 6646
DNK000004963 6788
DNK000004963 6876
DNK000004963 6555
DNK000004963 6320
DNK000004963 6239
DNK000004963 6684
DNK000004963 6730
DNK000004963 6602
DNK000004963 6945
DNK000004963 6800
DNK000004963 6735
DNK000004963 6697
DNK000004963 6754
DNK000004963 6908
DNK000004963 6693
DNK000004963 6245
DNK000004963 6235
DNK000004963 6671
DNK000004963 6407
DNK000004963 6610
DNK000004963 6175
DNK000004963 6388
DNK000004963 6177
DNK000004963 6592
DNK000004963 6510
DNK000004963 6411
DNK000005016 5739
DNK000005016 5561
DNK000005016 5201
DNK000005016 4528
DNK000005016 5050
DNK000005016 4903
DNK000005016 4305
DNK000005016 5353
DNK000005016 4757
DNK000005016 5005
DNK000005016 5246
DNK000005016 5418
DNK000005016 5330
DNK000005016 5218
DNK000005016 5431
DNK000005016 5497
DNK000005016 5277
DNK000005016 683
DNK000005016 675
DNK000005016 667
DNK000005142 6288
DNK000005142 6944
DNK000005142 6911
DNK000005142 6868
DNK000005142 6799
DNK000005142 5616
DNK000005142 6103
DNK000005142 6360
DNK000005142 6275
DNK000005142 6396
DNK000005142 6470
DNK000005142 6655
DNK000005142 6668
DNK000005142 6476
DNK000005142 7165
DNK000005142 7174
DNK000005142 7156
DNK000005142 7168
DNK000005142 6981
DNK000005142 7931
DNK000005142 7973
DNK000005142 7833
DNK000005142 7838
DNK000005142 7909
DNK000005142 7972
DNK000005142 7926
DNK000005142 7711
DNK000005142 6583
DNK000005142 6528
DNK000005142 6982
DNK000005142 6891
DNK000005142 6993
DNK000005142 6796
DNK000005142 6831
DNK000005142 5630
DNK000005142 5644
DNK000005142 5753
DNK000005142 5752
DNK000005142 5618
DNK000005142 6007
DNK000005142 5987
DNK000005142 5965
DNK000005142 6961
DNK000005142 7032
DNK000005142 7033
DNK000005142 7224
DNK000005142 7322
DNK000005142 7112
DNK000005142 6667
DNK000005142 6318
DNK000005142 6383
DNK000005142 6952
DNK000005142 7063
DNK000005142 7062
DNK000005142 7159
DNK000005142 6690
DNK000005142 6929
DNK000005142 6973
DNK000005142 6919
DNK000005142 6931
DNK000005269 6069
DNK000005269 6152
DNK000005269 6350
DNK000005269 6170
DNK000005269 6017
DNK000005269 6300
DNK000005269 6180
DNK000005269 6208
DNK000005269 6283
DNK000005269 6076
DNK000005269 6362
DNK000005269 6113
DNK000005269 6258
DNK000005269 6343
DNK000005269 6174
DNK000005269 6270
DNK000005269 8901
DNK000005269 9042
