pt_graph LE_MET_level6
10085 28
10212 28
10328 28
10330 28
10609 28
10867 28
10854 28
10711 28
10612 28
10513 28
8870 28
8966 28
9089 28
9151 28
10909 28
10920 28
10905 28
10924 28
10963 28
10897 28
10926 28
10955 28
10989 28
10055 28
10176 28
10327 28
10603 28
10016 28
9993 28
10017 28
9656 28
9614 28
9644 28
9643 28
9536 28
9411 28
9366 28
10883 28
10844 28
10850 28
10861 28
10164 28
10033 28
9693 28
9855 28
9979 28
11068 28
11122 28
10961 28
10943 28
10953 28
11051 28
11056 28
11060 28
10959 28
10993 28
10962 28
10929 28
10994 28
11008 28
10988 28
10986 28
10607 28
10935 28
10916 28
10902 28
10934 28
10940 28
10913 28
10918 28
10930 28
12086 28
10891 28
10880 28
10976 28
10968 28
10936 28
11045 28
11037 28
11030 28
11032 28
11242 28
11381 28
11437 28
11492 28
11635 28
11507 28
11582 28
12087 28
10992 28
11027 28
9584 28
9485 28
9354 28
9239 28
9100 28
9022 28
9112 28
9201 28
9207 28
9102 28
9129 28
