pt_graph LE_MET_level6
9239 8
9100 8
9121 8
9142 8
8950 8
8822 8
8901 8
8959 8
9057 8
9120 8
9167 8
9198 8
9128 8
8914 8
8833 8
8718 8
8403 8
8379 8
8437 8
8525 8
8612 8
8682 8
8631 8
8652 8
8863 8
8969 8
8925 8
9304 8
9214 8
9183 8
9122 8
9136 8
8984 8
8894 8
8776 8
8643 8
8566 8
8663 8
8685 8
8620 8
8581 8
8578 8
8774 8
9025 8
9233 8
9333 8
9412 8
9435 8
9339 8
9249 8
9001 8
8764 8
8936 8
9179 8
9307 8
9471 8
9288 8
9205 8
9295 8
9680 8
9714 8
9753 8
9622 8
9593 8
9524 8
9372 8
9366 8
9070 8
8818 8
8505 8
8699 8
8841 8
9158 8
8713 8
8492 8
8490 8
8765 8
8825 8
8734 8
8689 8
8710 8
8891 8
8990 8
9109 8
9212 8
9334 8
9486 8
11122 8
12086 8
11102 8
11099 8
11094 8
11089 8
11083 8
11051 8
11047 8
11046 8
11041 8
11031 8
11027 8
10995 8
10907 8
10881 8
10894 8
10889 8
10879 8
10871 8
10906 8
9562 8
9404 8
9303 8
9154 8
8957 8
8937 8
9039 8
9074 8
8772 8
8664 8
8732 8
8832 8
9151 8
9317 8
9425 8
8848 8
9195 8
9175 8
9311 8
9423 8
9507 8
9688 8
9786 8
9929 8
9821 8
9916 8
9946 8
9787 8
9777 8
9660 8
9669 8
9711 8
9581 8
9801 8
9735 8
9808 8
9922 8
10609 8
10867 8
