VE_REF pt_graph
DEN1 2333
DEN1 2356
DEN1 2521
DEN1 2287
DEN1 2341
DEN1 2408
DEN1 2431
DEN1 2184
DEN1 2466
DEN1 2353
DEN1 2281
DEN1 2211
DEN1 2374
DEN1 2212
DEN1 2310
DEN1 2429
DEN1 2594
DEN1 2493
DEN1 2553
DEN1 2628
DEN2 5435
DEN2 4934
DEN2 4819
DEN2 4712
DEN2 5352
DEN2 4742
DEN2 4872
DEN2 5007
DEN2 5057
DEN2 5285
DEN2 4955
DEN2 5015
DEN2 4622
DEN2 5259
DEN2 4877
DEN2 4447
DEN2 4183
DEN2 4840
DEN2 4993
DEN3 5608
DEN3 5554
DEN3 5472
DEN3 6348
DEN3 6365
DEN3 6236
DEN3 5878
DEN3 6024
DEN3 5916
DEN3 5766
DEN3 5604
DEN3 5499
DEN3 5307
DEN3 5261
DEN3 5150
DEN3 5136
DEN3 5110
DEN3 5142
DEN3 5080
DEN3 6354
DEN3 5057
DEN3 4993
DEN3 5017
DEN3 5114
DEN3 5200
DEN3 5157
DEN3 5177
DEN3 5570
DEN3 5509
DEN3 5434
DEN3 5255
DEN3 5674
DEN3 5658
DEN3 5711
DEN3 5877
DEN3 5834
DEN3 5533
DEN3 6062
DEN3 6066
DEN3 6086
DEN3 6002
DEN3 5892
DEN3 5971
DEN3 5923
DEN3 6003
DEN3 5902
DEN3 5857
DEN3 5625
DEN3 5566
DEN3 5676
DEN3 5538
DEN3 5446
DEN3 5336
DEN3 5452
DEN3 5605
DEN3 5661
DEN3 5723
DEN3 5672
DEN3 5522
DEN3 5438
DEN3 5726
DEN3 5550
DEN3 5850
DEN3 5699
DEN3 5477
DEN3 5525
DEN3 5807
DEN3 5639
DEN3 5245
DEN3 5192
DEN3 5350
DEN3 5254
DEN3 5372
DEN3 4941
DEN3 5285
DEN3 5906
DEN3 5765
DEN3 5185
DEN3 5387
DEN3 5435
DEN3 5413
DEN3 4877
DEN3 4893
DEN3 5018
DEN3 5653
DEN3 5821
DEN3 5757
DEN3 5687
DEN3 5025
DEN3 5066
DEN3 5027
DEN3 5389
DEN4 855
DEN4 1098
DEN4 576
DEN4 578
DEN5 2144
DEN5 2245
DEN5 1620
DEN5 1994
DEN5 1672
DEN5 2101
DEN5 1821
DEN5 2087
DEN5 1910
DEN5 1930
DEN5 1634
DEN5 2325
DEN5 2295
DEN5 2224
DEN5 1958
DEN5 2002
DEN5 2121
DEN5 2114
DEN5 2107
DEN5 2128
DEN5 2235
DEN5 2095
DEN5 2229
DEN5 2210
DEN5 1179
DEN5 1224
DEN5 1113
DEN5 1012
DEN5 1074
DEN5 1054
DEN5 1023
DEN5 1181
DEN5 1178
DEN5 1276
DEN5 1145
DEN5 985
DEN7 279
DEN7 255
DEN7 364
DEN7 352
DEN8 8682
DEN8 8771
DEN8 8718
DEN8 8643
DEN8 8533
DEN8 7374
DEN8 7691
DEN8 7287
