pt_graph LE_MET_level6
9274 8
9192 8
9447 8
9799 8
10117 8
10275 8
10492 8
9989 8
9802 8
9858 8
10182 8
10448 8
10263 8
10551 8
10719 8
10636 8
8893 8
8806 8
8711 8
8509 8
8571 8
8646 8
9431 8
9641 8
10362 8
10479 8
10318 8
10267 8
10370 8
10469 8
10340 8
10382 8
10579 8
10572 8
10415 8
10654 8
10293 8
10280 8
10564 8
10481 8
10165 8
10190 8
10157 8
10160 8
10252 8
10228 8
10322 8
10518 8
10436 8
10086 8
10274 8
10357 8
10516 8
10446 8
8804 8
8698 8
8840 8
8787 8
8751 8
8992 8
9065 8
8783 8
8681 8
8709 8
8625 8
8753 8
8640 8
8404 8
9407 8
10224 8
10433 8
10528 8
8786 8
8622 8
8590 8
8520 8
8602 8
8726 8
8486 8
8788 8
8805 8
8896 8
8715 8
8543 8
8540 8
8487 8
8314 8
8351 8
8507 8
8313 8
8482 8
8522 8
