vid percent
DEN0 0
DEN0 0
DEN0 0
DEN0 0
DEN0 0
DEN0 0
DEN0 0
DEN0 0
DEN0 0
DEN0 0
DEN0 0.8167
DEN0 0
DEN0 0
DEN0 0
DEN0 5e-04
DEN0 0
DEN0 0
DEN0 0
DEN0 0
DEN0 0.2665
DEN0 0
DEN0 0.8558
DEN0 0
DEN0 0
DEN0 0.2738
DEN0 0
DEN0 6.6348
DEN0 0.8078
DEN0 0
DEN0 0
DEN0 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0.3014
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0
DEN1 0.3039
DEN1 0
DEN1 0.3362
DEN1 0
DEN1 0
DEN1 0.8342
DEN1 0
DEN1 0.1612
DEN1 0.4441
DEN1 0
DEN1 0
DEN1 0
DEN2 0
DEN2 0.789
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0.1379
DEN2 0.0942
DEN2 1.0234
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0
DEN2 0.032
DEN2 3e-04
DEN2 0
DEN2 0.0118
DEN2 0
DEN2 0.9551
DEN2 0
DEN2 0.0578
DEN2 0
DEN2 0
DEN2 0
DEN3 0
DEN3 1.4272
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0.4367
DEN3 0.5891
DEN3 0.876
DEN3 0
DEN3 0.0056
DEN3 1.2764
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0.0034
DEN3 0.3241
DEN3 0.2647
DEN3 0
DEN3 0.1693
DEN3 0.1473
DEN3 1.5329
DEN3 0
DEN3 0.097
DEN3 0
DEN3 0
DEN3 0
DEN4 0
DEN4 0
DEN4 0
DEN4 0
DEN4 0
DEN4 0
DEN4 0
DEN4 0
DEN4 0.5542
DEN4 0
DEN4 0.4287
DEN4 0
DEN4 0.0434
DEN4 0
DEN4 0.0865
DEN4 0
DEN4 0
DEN4 0
DEN4 0
DEN4 1.6735
DEN4 0.8925
DEN4 0.032
DEN4 0
DEN4 13.631
DEN4 0.0098
DEN4 0.0276
DEN4 0
DEN4 0.0685
DEN4 0
DEN4 0
DEN4 0
DEN5 0
DEN5 0.4577
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0.1925
DEN5 0
DEN5 0.3021
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0
DEN5 0.9636
DEN5 2.667
DEN5 0.0024
DEN5 1.9396
DEN5 0.0697
DEN5 0.0049
DEN5 2.19
DEN5 0.3585
DEN5 0.0341
DEN5 0.7393
DEN5 0
DEN5 0
DEN5 0
DEN6 0
DEN6 0
DEN6 0
DEN6 0
DEN6 0
DEN6 0
DEN6 0
DEN6 0
DEN6 4.1029
DEN6 1.8536
DEN6 0.2094
DEN6 2.4404
DEN6 3.0922
DEN6 0
DEN6 0
DEN6 2.8781
DEN6 0
DEN6 0
DEN6 0
DEN6 0.0021
DEN6 0
DEN6 0
DEN6 0.9975
DEN6 0
DEN6 0.015
DEN6 0
DEN6 0
DEN6 0
DEN6 0
DEN6 0
DEN6 0
DEN7 0
DEN7 0
DEN7 0
DEN7 0
DEN7 0
DEN7 0
DEN7 0
DEN7 0
DEN7 5.9898
DEN7 0
DEN7 0.4395
DEN7 0
DEN7 0.6415
DEN7 0
DEN7 0
DEN7 0.0386
DEN7 0
DEN7 0
DEN7 0.2936
DEN7 0.4535
DEN7 0
DEN7 0
DEN7 2.2815
DEN7 0
DEN7 0.0069
DEN7 0
DEN7 0
DEN7 0.1701
DEN7 0
DEN7 0
DEN7 0
DEN8 0
DEN8 0
DEN8 0
DEN8 0
DEN8 0
DEN8 0
DEN8 0
DEN8 0
DEN8 0
DEN8 0
DEN8 1.4285
DEN8 0
DEN8 0
DEN8 0
DEN8 1.9178
DEN8 0
DEN8 0
DEN8 0
DEN8 0
DEN8 1.5276
DEN8 0
DEN8 3.0353
DEN8 0
DEN8 0
DEN8 0.5979
DEN8 0
DEN8 0
DEN8 4.5839
DEN8 0
DEN8 0
DEN8 0
DEN9 0
DEN9 0
DEN9 0
DEN9 0
DEN9 0
DEN9 0
DEN9 0
DEN9 0
DEN9 0
DEN9 0
DEN9 0.0931
DEN9 0
DEN9 0
DEN9 0
DEN9 0.0198
