LE_MET_level6 mapped_stk_code
0 30
1 10
2 10
3 10
4 21
5 10
5 22
5 24
5 8
5 23
6 3
7 1
7 22
7 23
7 0
7 8
8 11
8 10
8 16
8 15
8 21
9 22
9 1
9 8
9 23
9 15
10 5
10 4
10 2
10 7
10 16
11 11
11 16
11 21
11 10
11 22
12 2
12 17
12 3
12 7
12 5
13 10
13 16
13 21
13 14
13 24
14 1
14 23
14 25
14 20
14 9
15 3
15 7
15 6
15 14
15 10
16 16
16 7
16 3
16 10
16 24
17 7
17 3
17 4
17 5
17 2
18 22
18 23
18 8
18 12
18 10
19 11
19 8
19 12
19 22
19 15
20 28
21 10
22 10
23 3
24 3
24 7
24 10
24 21
24 14
25 22
26 4
27 1
27 9
27 23
27 8
27 20
28 11
28 10
28 15
28 8
28 21
29 1
29 9
29 23
29 13
29 20
