LE_MET_level6 beta.se.LE_MET_level6
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0.61501
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0.53669
11 0.20965
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0.5875
11 0
11 0
11 0.58571
11 0
11 0
11 0
11 0
11 0
11 0
11 0
12 0
12 0
12 0
12 0
12 0
12 0.36827
12 0
12 0
12 0
12 0
12 0
12 1.21806
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 2.91362
12 0
12 0
12 1.7301
12 1.35333
12 0
12 0
12 0
12 0
12 0
12 0
12 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0.07123
13 0
13 0
13 0
13 0.17355
13 0
13 0
13 0
13 0
13 0
13 0
13 0.1997
13 0
13 0.09012
13 0
13 0
13 0.09823
13 0
13 0
13 0.16832
13 0
13 0
13 0
13 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
15 0
15 0
15 0
15 0.8149
15 0
15 0
15 0
15 0
15 0
15 0.94286
15 0.59895
15 0
15 0
15 0
15 1.46391
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
16 0
16 0
16 0
16 0.89826
16 0
16 0
16 0
16 0
16 0
16 0
16 1.16461
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0.96118
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
17 0
17 2.36524
17 0.32517
17 0
17 0
17 0
17 0
17 0
17 0
