LE_MET_level6 beta.se.LE_MET_level6
17 1.14608
17 0.23208
17 0
17 0
17 0
17 0.8499
17 0
17 0
17 0
17 0
17 0
17 0
17 11.41055
17 0
17 0.94772
17 0
17 0
17 0
17 0
17 0
17 0
17 0
17 0
17 0
17 0
18 0
18 0
