LE_MET_level6 beta.se.LE_MET_level6
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0.30167
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0.94685
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
10 0
10 0
10 14.39652
10 0.48135
10 0
10 0
10 0
10 0.78941
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 2.18512
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0.25512
11 0.05722
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0.69583
11 0
11 0
11 0.24953
11 0.58179
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
12 0
12 0
12 0
12 0.1811
12 0.32565
12 0
12 0.15321
12 0.31561
12 0
12 0.73775
12 0.31562
12 0
12 0
12 0.17819
12 0.47548
12 0
12 0
12 0
12 0
12 0
12 0
12 1.19279
12 0
12 0
12 0
12 0.67026
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
13 0
13 0
13 0
13 0.42003
13 0
13 0
13 0.98008
13 0.67993
13 0
13 0
13 0.08093
13 0
13 0
13 0
13 0.30531
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0.1444
13 0
13 0
13 0.12845
13 0
13 0
13 0
13 0
13 0
13 0
13 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
15 0
15 0
15 0
15 0.11868
15 0.39335
15 0
15 0
15 0.14188
15 0
15 0
15 0.08967
15 0
15 0
15 0
15 0.20111
15 0
15 0
15 0
15 0
15 0
15 0
15 0.35706
15 0
15 0.27489
15 0
15 0
15 0.4989
15 0
15 0
15 0
15 0
15 0
15 0
15 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0.67195
16 0
16 0
16 0.20255
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0.24647
16 0
16 0.33033
16 0
16 0
16 0.32938
16 0
16 0
16 0.36323
