LE_MET_level6 beta.LE_MET_level6
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 -20
0 0
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -0.44803
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 2.85475
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
1 -20
10 -20
10 -20
10 33.57424
10 -4.78267
10 -20
10 0
10 -20
10 2.05762
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -5.08817
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
10 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -2.93444
11 -0.3747
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 1.07367
11 -20
11 -20
11 -0.99679
11 0.62943
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
11 -20
12 -20
12 -20
12 0
12 -0.22871
12 -2.42311
12 -20
12 -0.57986
12 1.93813
12 -20
12 0.92109
12 -3.92418
12 -20
12 -20
12 -0.00097
12 0.68819
12 -20
12 -20
12 -20
12 -20
12 -20
12 -20
12 3.53511
12 -20
12 -20
12 -20
12 0.08329
12 -20
12 -20
12 -20
12 -20
12 -20
12 -20
12 -20
12 -20
13 -20
13 -20
13 -20
13 -4.04429
13 -20
13 -20
13 -6.09282
13 -1.66905
13 -20
13 -20
13 -0.16751
13 -20
13 -20
13 -20
13 -0.32245
13 -20
13 -20
13 -20
13 -20
13 -20
13 -20
13 -20
13 -20
13 -0.65756
13 -20
13 -20
13 -0.62728
13 -20
13 -20
13 -20
13 -20
13 -20
13 -20
13 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
14 -20
15 -20
15 -20
15 -20
15 -0.81697
15 0.34196
15 -20
15 -20
15 0.50558
15 -20
15 -20
15 -1.81297
15 -20
15 -20
15 -20
15 1.29586
15 -20
15 -20
15 -20
15 -20
15 -20
15 -20
15 1.58824
15 -20
15 -0.60488
15 -20
15 -20
15 -1.18087
15 -20
15 -20
15 -20
15 -20
15 -20
15 -20
15 -20
16 -20
16 -20
16 -20
16 -20
16 -20
16 -20
16 -20
16 -0.87532
16 -20
16 -20
16 -1.12704
16 -20
16 -20
16 -20
16 -20
16 -20
16 -20
16 -20
16 -20
16 -20
16 -20
16 -0.54716
16 -20
16 0.18528
16 -20
16 -20
16 1.40689
16 -20
16 -20
16 0.95729
16 -20
16 -20
16 -20
16 -20
17 -20
17 -20
17 -20
17 0
17 0
17 -20
17 0
17 0
17 -20
17 0.73569
17 -2.67024
17 -20
17 -20
17 0
17 0.57478
17 -20
17 -20
17 -20
17 17.38832
17 -20
17 -20
17 1.75779
17 -20
17 -0.26346
17 -20
17 0.31679
17 -1.12155
17 -20
17 -20
17 -20
17 -20
17 -20
17 -20
17 -20
18 -20
18 -20
18 -20
18 -20
18 -20
18 -20
18 -20
18 -20
18 -0.60388
18 -20
18 -20
18 -20
18 0
18 -20
18 -20
18 -20
18 -20
18 -20
18 -20
18 -20
18 -20
18 -20
18 -0.53918
18 -20
18 -20
18 0.94215
18 -20
18 -20
18 -20
18 -20
18 -20
18 -20
18 -20
18 -20
19 -20
19 -20
19 -20
19 -20
19 -20
19 -20
19 -20
19 -20
19 -0.38586
19 -20
19 -20
19 -20
19 -0.1228
19 -20
19 -20
19 -20
19 0
19 -20
19 -20
19 -20
19 -20
19 -20
19 0.54459
19 -20
19 -20
19 0.02459
19 -20
19 -20
19 -20
19 -20
19 -20
19 -20
19 -20
19 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -0.76397
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -0.1869
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
2 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 -20
20 0
20 -20
20 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
21 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 0.43108
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
22 -20
