0 a*(LOA^b)
1 a*(kW^b)
2 a*(kW^b)
3 a*(kW^b)
4 a*(kW^b)
5 a*(kW^b)
6 a*(kW^b)
7 a*(kW^b)
8 a*(kW^b)
9 (a*LOA)+b
10 (a*LOA)+b
11 a*(kW^b)
12 (a*LOA)+b
13 a*(kW^b)
14 (a*LOA)+b
15 (a*LOA)+b
16 a*(kW^b)
17 (a*LOA)+b
18 a*(kW^b)
19 a*(LOA^b)
20 a*(kW^b)
21 a*(kW^b)
22 a*(kW^b)
23 a*(kW^b)
24 a*(kW^b)
25 a*(kW^b)
26 a*(kW^b)
27 a*(kW^b)
28 a*(kW^b)
29 (a*LOA)+b

