pop beta.nb_indiv
0 320.63371
1 8965.0645
2 0
3 2.33544
4 0
5 0.82472
6 0
7 61.41763
8 0
9 0
10 12.72182
11 133.74464
12 0
13 31159.11303
14 0
15 0
16 0
17 0
18 0
19 0
20 7062.59296
21 333.83853
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 16276.04579
31 2543.55944
32 0.92507
33 0.06821
