pop beta.nb_indiv
0 0
1 0
2 0.02572
3 0.87689
4 0
5 0
6 0
7 0
8 -0.00677
9 -0.64689
10 0.54284
11 -0.03099
12 0.03978
13 0.05221
14 0.09761
15 0.00649
16 -0.00226
17 0
18 0
19 0.08321
20 0.00277
21 -0.58161
22 -0.01559
23 2.35269
24 0.08349
25 0.12459
26 0.55017
27 -0.87414
28 -0.28568
29 -0.11933
30 0
31 0
32 0
33 0
