0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.001 0 0 0 0 0 0 0 0 0 0 0 0 0
0.009 0.002 0 0 0 0 0 0 0 0 0 0 0 0
0.057 0.021 0.002 0 0 0 0 0 0 0 0 0 0 0
0.193 0.101 0.021 0.001 0 0 0 0 0 0 0 0 0 0
0.324 0.254 0.117 0.024 0.002 0 0 0 0 0 0 0 0 0
0.274 0.325 0.296 0.151 0.03 0.002 0 0 0 0 0 0 0 0
0.116 0.213 0.34 0.361 0.184 0.037 0.003 0 0 0 0 0 0 0
0.025 0.071 0.177 0.331 0.394 0.234 0.06 0.003 0 0 0 0 0 0
0.003 0.012 0.042 0.116 0.3 0.44 0.305 0.076 0.006 0 0 0 0 0
0 0.001 0.004 0.015 0.081 0.245 0.435 0.378 0.125 0.006 0 0 0 0
0 0 0 0.001 0.008 0.04 0.176 0.426 0.472 0.161 0.01 0 0 0
0 0 0 0 0 0.002 0.02 0.11 0.347 0.548 0.247 0.016 0 0
0 0 0 0 0 0 0 0.006 0.05 0.284 0.744 0.984 1 0.998
