pop beta.nb_indiv
0 0
1 0
2 0.02699
3 0.6525
4 0.44336
5 0.05125
6 -0.02164
7 3.84381
8 -29.64129
9 11.19983
10 1.82053
11 -0.02527
12 -8.15806
13 -1.23762
14 -0.18382
15 0
16 -6.04783
17 0
18 0
19 -0.17218
20 0.02892
21 -101.718
22 -245.49984
23 -141.21182
24 -53.42081
25 188.03173
26 -539.35633
27 -1637.62162
28 -1519.88782
29 -1599.12563
30 0
31 0
32 0
33 0
