stock  init_weight_per_szgroup
0 0.004970176
0 0.03666412
0 0.1180082
0 0.2704648
0 0.5146385
0 0.8705261
0 1.357655
0 1.995171
0 2.801902
0 3.796398
0 4.996971
0 6.421719
0 8.088546
0 10.01518
1 0.004970176
1 0.03666412
1 0.1180082
1 0.2704648
1 0.5146385
1 0.8705261
1 1.357655
1 1.995171
1 2.801902
1 3.796398
1 4.996971
1 6.421719
1 8.088546
1 10.01518
2 0.0008717947
2 0.007425357
2 0.02599619
2 0.06324416
2 0.1260408
2 0.221418
2 0.3565375
2 0.5386709
2 0.7751848
2 1.07353
2 1.441233
2 1.885888
2 2.415154
2 3.036745
3 0.0007068291
3 0.006014452
3 0.02104466
3 0.05117734
3 0.1019607
3 0.1790703
3 0.2882851
3 0.4354712
3 0.6265699
3 0.8675898
3 1.164599
3 1.52372
3 1.951127
3 2.453036
4 0.000799065
4 0.006477265
4 0.02202983
4 0.05250507
4 0.1029847
4 0.178575
4 0.2844023
4 0.425609
4 0.6073517
4 0.8347994
4 1.113132
4 1.447539
4 1.84322
4 2.305381
5 0.0005638195
5 0.006269303
5 0.0256529
5 0.06971055
5 0.1513773
5 0.2852434
5 0.4873666
5 0.7751357
5 1.167166
5 1.683217
5 2.344119
5 3.17172
5 4.188835
5 5.419198
6 0.0005638195
6 0.006269303
6 0.0256529
6 0.06971055
6 0.1513773
6 0.2852434
6 0.4873666
6 0.7751357
6 1.167166
6 1.683217
6 2.344119
6 3.17172
6 4.188835
6 5.419198
7 0.0007302428
7 0.006804306
7 0.02510717
7 0.06340163
7 0.1300621
7 0.2339453
7 0.3843111
7 0.5907681
7 0.8632332
7 1.211901
7 1.64722
7 2.179871
7 2.820752
7 3.580961
8 0.001175482
8 0.009448937
8 0.03197951
8 0.07595389
8 0.148576
8 0.2570626
8 0.4086403
8 0.6105442
8 0.8700168
8 1.194307
8 1.590668
8 2.06636
8 2.628646
8 3.284795
9 0.001175482
9 0.009448937
9 0.03197951
9 0.07595389
9 0.148576
9 0.2570626
9 0.4086403
9 0.6105442
9 0.8700168
9 1.194307
9 1.590668
9 2.06636
9 2.628646
9 3.284795
10 0.0009888311
10 0.008443236
10 0.02960297
