pop beta.nb_indiv
1 0
2 -503.66606
3 4.04269
4 -4.84585
5 0
6 -1.43812
7 84.37327
8 161.84299
9 -0.6614
10 -0.06945
11 13.7022
12 45.73284
13 9.68567
14 -4.12032
15 0
16 2389.77521
17 12.52992
18 -54.6112
20 -922.63466
21 2.49894
22 -7708.14578
23 -39.37603
24 -1747.47968
25 -1.07649
26 -6.09778
27 -6800.13445
28 -926923.05053
29 5022.98643
31 0
33 0
