stock  init_M_per_szgroup
0 0.9985
0 0.4452
0 0.2655
0 0.1886
0 0.1462
0 0.1193
0 0.1008
0 0.0872
0 0.0769
0 0.0687
0 0.0621
0 0.0567
0 0.0521
0 0.0483
1 0.9985
1 0.4452
1 0.2655
1 0.1886
1 0.1462
1 0.1193
1 0.1008
1 0.0872
1 0.0769
1 0.0687
1 0.0621
1 0.0567
1 0.0521
1 0.0483
2 0.9985
2 0.4452
2 0.2655
2 0.1886
2 0.1462
2 0.1193
2 0.1008
2 0.0872
2 0.0769
2 0.0687
2 0.0621
2 0.0567
2 0.0521
2 0.0483
3 0.9985
3 0.4452
3 0.2655
3 0.1886
3 0.1462
3 0.1193
3 0.1008
3 0.0872
3 0.0769
3 0.0687
3 0.0621
3 0.0567
3 0.0521
3 0.0483
4 0.9985
4 0.4452
4 0.2655
4 0.1886
4 0.1462
4 0.1193
4 0.1008
4 0.0872
4 0.0769
4 0.0687
4 0.0621
4 0.0567
4 0.0521
4 0.0483
5 0.9985
5 0.4452
5 0.2655
5 0.1886
5 0.1462
5 0.1193
5 0.1008
5 0.0872
5 0.0769
5 0.0687
5 0.0621
5 0.0567
5 0.0521
5 0.0483
6 0.9985
6 0.4452
6 0.2655
6 0.1886
6 0.1462
6 0.1193
6 0.1008
6 0.0872
6 0.0769
6 0.0687
6 0.0621
6 0.0567
6 0.0521
6 0.0483
7 0.9985
7 0.4452
7 0.2655
7 0.1886
7 0.1462
7 0.1193
7 0.1008
7 0.0872
7 0.0769
7 0.0687
7 0.0621
7 0.0567
7 0.0521
7 0.0483
8 0.9985
8 0.4452
8 0.2655
8 0.1886
8 0.1462
8 0.1193
8 0.1008
8 0.0872
8 0.0769
8 0.0687
8 0.0621
8 0.0567
8 0.0521
8 0.0483
9 0.9985
9 0.4452
9 0.2655
9 0.1886
9 0.1462
9 0.1193
9 0.1008
9 0.0872
9 0.0769
9 0.0687
9 0.0621
9 0.0567
9 0.0521
9 0.0483
10 0.9985
10 0.4452
10 0.2655
10 0.1886
10 0.1462
10 0.1193
10 0.1008
10 0.0872
10 0.0769
10 0.0687
10 0.0621
10 0.0567
10 0.0521
10 0.0483
11 0.9985
11 0.4452
11 0.2655
11 0.1886
11 0.1462
11 0.1193
11 0.1008
11 0.0872
11 0.0769
11 0.0687
11 0.0621
11 0.0567
11 0.0521
11 0.0483
12 0.9985
12 0.4452
12 0.2655
12 0.1886
12 0.1462
12 0.1193
12 0.1008
12 0.0872
12 0.0769
12 0.0687
12 0.0621
12 0.0567
12 0.0521
12 0.0483
13 0.9985
13 0.4452
13 0.2655
13 0.1886
13 0.1462
13 0.1193
13 0.1008
13 0.0872
13 0.0769
13 0.0687
13 0.0621
13 0.0567
13 0.0521
13 0.0483
14 0.9985
14 0.4452
14 0.2655
14 0.1886
14 0.1462
14 0.1193
14 0.1008
14 0.0872
14 0.0769
14 0.0687
14 0.0621
14 0.0567
14 0.0521
14 0.0483
15 0.9985
15 0.4452
15 0.2655
15 0.1886
15 0.1462
15 0.1193
15 0.1008
15 0.0872
15 0.0769
15 0.0687
15 0.0621
15 0.0567
15 0.0521
15 0.0483
16 0.9985
16 0.4452
16 0.2655
16 0.1886
16 0.1462
16 0.1193
16 0.1008
16 0.0872
16 0.0769
16 0.0687
16 0.0621
16 0.0567
16 0.0521
16 0.0483
17 0.9985
17 0.4452
17 0.2655
17 0.1886
17 0.1462
17 0.1193
17 0.1008
17 0.0872
17 0.0769
17 0.0687
17 0.0621
17 0.0567
17 0.0521
17 0.0483
18 0.9985
18 0.4452
18 0.2655
18 0.1886
18 0.1462
18 0.1193
18 0.1008
18 0.0872
18 0.0769
18 0.0687
18 0.0621
18 0.0567
18 0.0521
18 0.0483
19 0.9985
19 0.4452
19 0.2655
19 0.1886
19 0.1462
19 0.1193
19 0.1008
19 0.0872
19 0.0769
19 0.0687
19 0.0621
19 0.0567
19 0.0521
19 0.0483
20 0.9985
20 0.4452
20 0.2655
20 0.1886
20 0.1462
20 0.1193
20 0.1008
20 0.0872
20 0.0769
20 0.0687
20 0.0621
20 0.0567
20 0.0521
20 0.0483
21 0.9985
21 0.4452
21 0.2655
21 0.1886
21 0.1462
21 0.1193
21 0.1008
21 0.0872
21 0.0769
21 0.0687
21 0.0621
21 0.0567
21 0.0521
21 0.0483
22 0.9985
22 0.4452
22 0.2655
22 0.1886
22 0.1462
22 0.1193
22 0.1008
22 0.0872
22 0.0769
22 0.0687
22 0.0621
22 0.0567
22 0.0521
22 0.0483
23 0.9985
23 0.4452
23 0.2655
23 0.1886
23 0.1462
23 0.1193
23 0.1008
23 0.0872
23 0.0769
23 0.0687
23 0.0621
23 0.0567
23 0.0521
23 0.0483
24 0.9985
24 0.4452
24 0.2655
24 0.1886
24 0.1462
24 0.1193
24 0.1008
24 0.0872
24 0.0769
24 0.0687
24 0.0621
24 0.0567
24 0.0521
24 0.0483
25 0.9985
25 0.4452
25 0.2655
25 0.1886
25 0.1462
25 0.1193
25 0.1008
25 0.0872
25 0.0769
25 0.0687
25 0.0621
25 0.0567
25 0.0521
25 0.0483
26 0.9985
26 0.4452
26 0.2655
26 0.1886
26 0.1462
26 0.1193
26 0.1008
26 0.0872
26 0.0769
26 0.0687
26 0.0621
26 0.0567
26 0.0521
26 0.0483
27 0.9985
27 0.4452
27 0.2655
27 0.1886
27 0.1462
27 0.1193
27 0.1008
