pop beta.nb_indiv
0 0
1 166.69351
2 0.33402
3 0.59966
4 13.81948
5 0.04981
6 1.2342
7 94.92086
8 243.3548
9 374.70016
10 0.83962
11 2.63963
12 100.8305
13 11.31727
14 5.77988
15 0
16 12.69375
17 0
18 0.25926
19 0.01321
20 0.15802
21 31.80035
22 684.60188
23 49.87136
24 299.55979
25 348.95349
26 1756.09354
27 445.05935
28 1489.39026
29 2787.37129
30 0
31 0
32 0
33 0
