pop beta.nb_indiv
0 0
1 0
2 0.00304
3 -1.2953
4 -0.00332
5 0
6 0
7 1.58336
8 -0.96011
9 20.41152
10 -1.27801
11 -0.01353
12 -0.89307
13 0.9368
14 -2.59292
15 -0.35165
16 0.37089
17 -0.3152
18 0
19 0.04862
20 -0.02722
21 140.59838
22 2.73578
23 66.63371
24 -0.32035
25 10.1554
26 61.47957
27 44.24948
28 60.58564
29 14.2323
30 0
31 0
32 0
33 0
