pop beta.nb_indiv
1 194557.88132
2 0
3 -5.69076
4 0
5 0
6 0
7 0
8 1877.87343
9 0
10 -10.5315
11 -434.86788
12 0
13 -287.24899
14 0
15 0
16 0
17 0
18 0
20 13436.51196
21 0
22 0
23 7207.17751
24 0
25 -23942.99716
26 0
27 0
28 0
29 0
31 -9707.18809
33 -0.00753
