stock  init_maturity_per_szgroup
0 0
0 0.8022
0 0.9168
0 0.9677
0 0.9879
0 0.9955
0 0.9983
0 0.9994
0 0.9998
0 0.9999
0 1
0 1
0 1
0 1
1 0
1 0.8022
1 0.9168
1 0.9677
1 0.9879
1 0.9955
1 0.9983
1 0.9994
1 0.9998
1 0.9999
1 1
1 1
1 1
1 1
2 0
2 0.0832
2 0.1978
2 0.4013
2 0.6457
2 0.832
2 0.9309
2 0.9734
2 0.99
2 0.9963
2 0.9986
2 0.9995
2 0.9998
2 0.9999
3 0
3 0.1192
3 0.2689
3 0.5
3 0.7311
3 0.8808
3 0.9526
3 0.982
3 0.9933
3 0.9975
3 0.9991
3 0.9997
3 0.9999
3 1
4 0
4 0.1192
4 0.2689
4 0.5
4 0.7311
4 0.8808
4 0.9526
4 0.982
4 0.9933
4 0.9975
4 0.9991
4 0.9997
4 0.9999
4 1
5 0
5 0.5498
5 0.7685
5 0.9002
5 0.9608
5 0.9852
5 0.9945
5 0.998
5 0.9993
5 0.9997
5 0.9999
5 1
5 1
5 1
6 0
6 0.5
6 0.7311
6 0.8808
6 0.9526
6 0.982
6 0.9933
6 0.9975
6 0.9991
6 0.9997
6 0.9999
6 1
6 1
6 1
7 0
7 0.5
7 0.7311
7 0.8808
7 0.9526
7 0.982
7 0.9933
7 0.9975
7 0.9991
7 0.9997
7 0.9999
7 1
7 1
7 1
8 0
8 0
8 0.0001
8 0.0003
8 0.0009
8 0.0025
8 0.0067
8 0.018
8 0.0474
8 0.1192
8 0.2689
8 0.5
8 0.7311
8 0.8808
9 0
9 0.0001
9 0.0003
9 0.0009
9 0.0025
9 0.0067
9 0.018
9 0.0474
9 0.1192
9 0.2689
9 0.5
9 0.7311
9 0.8808
9 0.9526
10 0
10 0.0009
10 0.0025
10 0.0067
10 0.018
10 0.0474
10 0.1192
10 0.2689
10 0.5
10 0.7311
10 0.8808
10 0.9526
10 0.982
10 0.9933
11 0
11 0.0045
11 0.0121
11 0.0323
11 0.0832
11 0.1978
11 0.4013
11 0.6457
11 0.832
11 0.9309
11 0.9734
11 0.99
11 0.9963
11 0.9986
12 0
12 0.0219
12 0.0573
12 0.1419
12 0.31
12 0.5498
12 0.7685
12 0.9002
12 0.9608
12 0.9852
12 0.9945
12 0.998
12 0.9993
12 0.9997
13 0
13 0.1192
13 0.2689
13 0.5
13 0.7311
13 0.8808
13 0.9526
13 0.982
13 0.9933
13 0.9975
13 0.9991
13 0.9997
13 0.9999
13 1
14 0
14 0.1192
14 0.2689
14 0.5
14 0.7311
14 0.8808
14 0.9526
14 0.982
14 0.9933
14 0.9975
14 0.9991
14 0.9997
14 0.9999
14 1
15 0
15 0.0001
15 0.0002
15 0.0005
15 0.0014
15 0.0037
15 0.01
15 0.0266
15 0.0691
15 0.168
15 0.3543
15 0.5987
15 0.8022
15 0.9168
16 0
16 0.3543
16 0.5987
16 0.8022
16 0.9168
16 0.9677
16 0.9879
16 0.9955
16 0.9983
16 0.9994
16 0.9998
16 0.9999
16 1
16 1
17 0
17 0.0392
17 0.0998
17 0.2315
17 0.4502
17 0.69
17 0.8581
17 0.9427
17 0.9781
17 0.9918
17 0.997
17 0.9989
17 0.9996
17 0.9998
18 0
18 0.5
18 0.7311
18 0.8808
18 0.9526
18 0.982
18 0.9933
18 0.9975
18 0.9991
18 0.9997
18 0.9999
18 1
18 1
18 1
19 0
19 0.5
19 0.7311
19 0.8808
19 0.9526
19 0.982
19 0.9933
19 0.9975
19 0.9991
19 0.9997
19 0.9999
19 1
19 1
19 1
20 0
20 0.0323
20 0.0832
20 0.1978
20 0.4013
20 0.6457
20 0.832
20 0.9309
20 0.9734
20 0.99
20 0.9963
20 0.9986
20 0.9995
20 0.9998
21 0
21 0.0832
21 0.1978
21 0.4013
21 0.6457
21 0.832
21 0.9309
21 0.9734
21 0.99
21 0.9963
21 0.9986
21 0.9995
21 0.9998
21 0.9999
22 0
22 0.018
22 0.0474
22 0.1192
22 0.2689
22 0.5
22 0.7311
22 0.8808
22 0.9526
22 0.982
22 0.9933
22 0.9975
22 0.9991
22 0.9997
23 0
23 0.0474
23 0.1192
23 0.2689
23 0.5
23 0.7311
23 0.8808
23 0.9526
23 0.982
23 0.9933
23 0.9975
23 0.9991
23 0.9997
23 0.9999
24 0
24 0.0474
24 0.1192
24 0.2689
24 0.5
24 0.7311
24 0.8808
24 0.9526
24 0.982
24 0.9933
24 0.9975
24 0.9991
24 0.9997
24 0.9999
25 0
25 0.0474
25 0.1192
25 0.2689
25 0.5
25 0.7311
25 0.8808
25 0.9526
25 0.982
25 0.9933
25 0.9975
25 0.9991
25 0.9997
25 0.9999
26 0
26 0.1192
26 0.2689
26 0.5
26 0.7311
26 0.8808
26 0.9526
26 0.982
26 0.9933
26 0.9975
26 0.9991
26 0.9997
26 0.9999
26 1
27 0
27 0.0474
27 0.1192
27 0.2689
27 0.5
27 0.7311
27 0.8808
27 0.9526
27 0.982
27 0.9933
27 0.9975
27 0.9991
27 0.9997
27 0.9999
28 0
28 0.8022
28 0.9168
28 0.9677
28 0.9879
28 0.9955
28 0.9983
28 0.9994
28 0.9998
28 0.9999
28 1
28 1
28 1
28 1
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
30 0
30 0
30 0
30 0
30 0
30 0
30 0
30 0
30 0
30 0
30 0
30 0
30 0
30 0
