pop beta.nb_indiv
1 0
2 218.44231
3 1.10527
4 1.33456
5 0
6 1.45705
7 32.87856
8 107.94377
9 6.29277
10 0.50561
11 6.75485
12 64.9552
13 4.56433
14 2.60974
15 0
16 725.34761
17 9.03843
18 66.96665
20 488.55464
21 6.453
22 3163.94502
23 9.75545
24 1331.02373
25 7.70312
26 14.35238
27 3089.88852
28 1202555.70879
29 2616.68046
31 0
33 0
