idx_node avai
148 0
148 0
148 0.00649986
148 0.00457124
148 0.00501979
148 0.00215258
148 0.00111063
148 0
148 0
148 0
148 0
148 0
148 0
148 0
156 0
156 0
156 0
156 0
156 0.000263324
156 0.00223702
156 0.0200472
156 0.045631
156 0.00919834
156 0
156 0
156 0
156 0
156 0
157 0
157 0
157 0
157 0
157 0.00184327
157 0.00357923
157 0
157 0
157 0
157 0
157 0
157 0
157 0
157 0
161 0
161 0
161 0
161 0.000805735
161 0.00793825
161 0.00597246
161 0.00772872
161 0.00541462
161 0.00343259
161 0
161 0
161 0
161 0
161 0
166 0
166 0
166 0
166 0.000407665
166 0.00477438
166 0.00755899
166 0.00236038
166 0.0011369
166 0.00363938
166 0
166 0
166 0
166 0
166 0
167 0
167 0
167 0
167 0
167 0
167 0
167 0
167 0
167 0
167 0.161245
167 0.416507
167 0
167 0
167 0
168 0
168 0
168 0.000548773
168 0.000826631
168 0.00188416
168 0.00273255
168 0.000297103
168 0.00126013
168 0
168 0
168 0
168 0
168 0
168 0
169 0
169 0
169 0
169 0
169 0
169 0.00626365
169 0.019136
169 0.0171116
169 0
169 0
169 0
169 0
169 0
169 0
170 0
170 0
170 0
170 0
170 0
170 0.00626365
170 0.019136
170 0.0171116
170 0
170 0
170 0
170 0
170 0
170 0
171 0
171 0
171 0
171 0
171 0
171 0.00005174
171 0.000802718
171 0.00025776
171 0
171 0
171 0
171 0
171 0
171 0
175 0
175 0
175 0
175 0.000038573
175 0.000261515
175 0.00110321
175 0.0010529
175 0.000321236
175 0
175 0.0126933
175 0
175 0
175 0
175 0
177 0
177 0
177 0
177 0
177 0
177 0.000301938
177 0
177 0
177 0
177 0
177 0
177 0
177 0
177 0
183 0
183 0
183 0
183 0.000090571
183 0.000845825
183 0.00313493
183 0.00236728
183 0.00152206
183 0.00184172
183 0
183 0
183 0
183 0
183 0
184 0
184 0
184 0
184 0
184 0.00323056
184 0.00804696
184 0.00893399
184 0.00339785
184 0.0034575
184 0
184 0.0538394
184 0
184 0
184 0
186 0
186 0
186 0
186 0
186 0.00112775
186 0.00521399
186 0.00663218
186 0.00286429
186 0.00115083
186 0
186 0
186 0
186 0
186 0
187 0
187 0
187 0
187 0
187 0.0000632725
187 0.000112229
187 0.00270332
187 0.00501008
187 0.0138448
187 0.0410265
187 0.211172
187 1
187 1
187 1
189 0
189 0
189 0.00646795
189 0.00517002
189 0.00848177
189 0.00440212
189 0.0039125
189 0.00461863
189 0.00261662
189 0
189 0
189 0
189 0
189 0
190 0
190 0
190 0
190 0
190 0
190 0.0000864643
190 0.00146613
190 0.00220464
190 0.0035553
190 0
190 0
190 0
190 0
190 0
191 0
191 0
191 0
191 0
191 0.0000647782
191 0.0000571515
191 0.000772314
191 0.00594941
191 0.00787284
191 0
191 0
191 0
191 0
191 0
192 0
192 0
192 0
192 0
192 0
192 0.000450845
192 0.00331356
192 0.00522726
192 0.00280991
192 0
192 0
192 0
192 0
192 0
194 0
194 0
194 0
194 0.000839085
194 0.00656368
194 0.0122982
194 0.0109145
194 0.00700065
194 0.00513271
194 0.008923
194 0
194 0
194 0
194 0
201 0
201 0
201 0
201 0.000145672
201 0.00159843
201 0.00374245
201 0.0054805
201 0.00956384
201 0.00812089
201 0
201 0
201 0
201 0
201 0
203 0
203 0
203 0
203 0
203 0.0000270181
203 0.0025277
203 0.0127963
203 0.0107437
203 0.00466679
203 0
203 0
203 0
203 0
203 0
205 0
205 0
205 0
205 0
205 0.000102585
205 0.00246304
205 0.0082066
205 0.00653304
205 0.00688219
205 0
205 0.0494218
205 0
205 0
205 0
208 0
208 0
208 0
208 0
208 0
208 0
208 0
208 0
208 0.00098086
208 0
208 0
208 0
208 0
208 0
210 0
210 0
210 0
210 0.000283681
210 0.00300227
210 0.00639243
210 0.00478022
210 0.00675671
210 0.0115916
210 0.0126453
210 0
210 0
210 0
210 0
213 0
213 0
213 0
213 0
213 0.0000154035
213 0
213 0.000053304
213 0.000112346
213 0.000539372
213 0
213 0
213 0
213 0
213 0
214 0
214 0
214 0
214 0
214 0.000332602
214 0.00554298
214 0.0121878
214 0.00893349
214 0.00242656
214 0
214 0
214 0
214 0
214 0
215 0
215 0
215 0
215 0
215 0
215 0.0000409613
215 0.000980146
215 0.00120171
215 0.00166163
215 0
215 0
215 0
215 0
215 0
216 0
216 0
216 0
216 0.00048814
216 0.00233046
216 0.00157861
216 0.000674646
216 0.000308642
216 0.00149319
216 0
216 0
216 0
216 0
216 0
218 0
218 0
218 0
218 0
218 0.000802016
218 0
218 0.0151396
218 0.000936154
218 0
218 0
218 0
218 0
218 0
218 0
219 0
219 0
219 0
219 0.0000458683
219 0.00223937
219 0.00866012
219 0.015362
219 0.0166764
219 0.040911
219 0.0631055
219 0.0811642
219 0
219 0
219 0
220 0
220 0
220 0
220 0.000137669
220 0.00255923
220 0.00776145
220 0.00589736
220 0.00188323
220 0.00187351
220 0
220 0
220 0
220 0
220 0
230 0
230 0
230 0.0278814
230 0.0246675
230 0.0186833
230 0.00626678
230 0.00135303
230 0
230 0
230 0
230 0
230 0
230 0
230 0
231 0
231 0
231 0
231 0.000376245
231 0.00209956
231 0.00371177
231 0.00304597
231 0.00221106
231 0.00463144
231 0
231 0
231 0
231 0
231 0
233 0
233 0
233 0
233 0
233 0
233 0
233 0.000936417
233 0.00317248
233 0.00644433
233 0
233 0
233 0
233 0
233 0
235 0.017567
235 0.017567
235 0.00282107
235 0.00377339
235 0.00336797
235 0.00131024
235 0.000215733
235 0.000394379
235 0
235 0
235 0
235 0
235 0
235 0
240 0
240 0
240 0
240 0.0000567558
240 0.00322829
240 0.0113887
240 0.0137501
240 0.00987045
240 0.00821204
240 0.0101653
240 0.0525151
240 0
240 0
240 0
241 0
241 0
241 0
241 0
241 0.0000890463
241 0.00212439
241 0.0108757
241 0.0153266
241 0.0269816
241 0.0536546
241 0.13538
241 0
241 0
241 0
243 0
243 0
243 0
243 0
243 0.0008281
243 0.00888904
243 0.0139271
243 0.0110064
243 0.00725653
243 0.0172262
243 0
243 0
243 0
243 0
253 0
253 0
253 0
253 0.000130206
253 0.00443605
253 0.013293
253 0.0100311
253 0.00809668
253 0.0087946
253 0.0373462
253 0
253 0
253 0
253 0
254 0
254 0
254 0.000730274
254 0.00651307
254 0.00685382
254 0.00361944
